finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-oos-reconciler-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_2	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt|dyn-oos-reconciler-output.txt|dyn-gh-fate-fetch-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
FINDING_3	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|codex-specialist-testing-output.txt|dyn-oos-reconciler-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
FINDING_4	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt|dyn-scoring-contract-docs-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_5	cursor-specialist-edge-cases-output.txt|dyn-scoring-contract-docs-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_6	cursor-specialist-edge-cases-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism	in_scope
FINDING_7	cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt|dyn-oos-reconciler-output.txt	accepted	NO	partially-true	minor	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
FINDING_8	codex-specialist-edge-cases-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_9	dyn-oos-reconciler-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
FINDING_10	dyn-oos-reconciler-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_11	dyn-gh-fate-fetch-output.txt	rejected	NO	true	minor	adequate	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	adequate	false	cursor-pragmatism	in_scope
FINDING_12	dyn-gh-fate-fetch-output.txt	accepted	NO	true	minor	adequate	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_13	dyn-gh-fate-fetch-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_14	cursor-specialist-testing-output.txt	neutral	NO	true	minor	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	in_scope
FINDING_15	cursor-specialist-testing-output.txt	neutral	NO	true	minor	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	in_scope
FINDING_16	cursor-specialist-testing-output.txt	neutral	NO	true	nit	adequate	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	NO	partially-true	minor	adequate	false	cursor-pragmatism	in_scope
FINDING_17	cursor-specialist-testing-output.txt	neutral	NO	true	nit	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	in_scope
FINDING_18	dyn-scoring-contract-docs-output.txt	neutral	NO	partially-true	minor	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	NO	partially-true	minor	good	false	cursor-pragmatism	in_scope
FINDING_19	dyn-scoring-contract-docs-output.txt	neutral	NO	partially-true	minor	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	NO	true	minor	excellent	false	cursor-pragmatism	in_scope
