finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Cursor-Innovation, Cursor-Pragmatic, Cursor-Requirements	accepted	YES	true	major	good	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	major	in_scope
FINDING_2	Cursor-Innovation, Cursor-Requirements	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	major	in_scope
FINDING_3	Cursor-Innovation	rejected	NO	true	nit	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	good	false	codex-pragmatism	minor	in_scope
FINDING_4	Cursor-Innovation	rejected	NO	true	nit	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	good	false	codex-pragmatism	minor	in_scope
FINDING_5	Cursor-Innovation	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	minor	in_scope
FINDING_6	Codex-Innovation, Codex-Pragmatic	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_7	Cursor-Pragmatic, Cursor-Requirements, Cursor-dyn-Ast Ratchet Reviewer	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	minor	in_scope
FINDING_8	Cursor-Pragmatic	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	minor	in_scope
FINDING_9	Codex-Requirements, Cursor-dyn-Ast Ratchet Reviewer	accepted	NO	partially-true	minor	adequate	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_10	Cursor-dyn-Ast Ratchet Reviewer	rejected	NO	partially-true	minor	weak	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	major	in_scope
FINDING_11	Cursor-dyn-Ast Ratchet Reviewer	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	minor	in_scope
FINDING_12	Codex-dyn-Ast Ratchet Reviewer	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	major	in_scope
FINDING_13	Cursor-Innovation	rejected	NO	partially-true	nit	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	good	false	codex-pragmatism	minor	in_scope
OOS_1	Codex-Arch	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	minor	oos
OOS_2	Cursor-Innovation	accepted	NO	partially-true	minor	adequate	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	minor	oos
OOS_3	Cursor-Innovation	accepted	NO	partially-true	minor	adequate	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	minor	oos
OOS_4	Cursor-Pragmatic	rejected	NO	partially-true	nit	adequate	false	codex-validity	NO	partially-true	nit	no-fix	false	codex-plan-fidelity	NO	true	nit	good	false	codex-pragmatism	minor	oos
OOS_5	Cursor-dyn-Ast Ratchet Reviewer	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	true	nit	good	false	codex-pragmatism	minor	oos
OOS_6	Cursor-dyn-Ast Ratchet Reviewer	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	minor	oos
