finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch, Cursor-Innovation, Cursor-Requirements, Codex-Arch, Cursor-Edge, Codex-Edge, Codex-Innovation, Cursor-Pragmatic, Codex-Pragmatic, Codex-Requirements, Cursor-dyn-seam-integrity, Codex-dyn-seam-integrity	accepted	YES	true	blocker	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_2	Codex-Arch, Codex-Edge, Codex-Innovation, Codex-Pragmatic, Codex-Requirements	accepted	YES	true	major	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_3	Codex-Arch, Codex-Edge, Codex-Innovation, Cursor-dyn-tally-math, Codex-dyn-tally-math	accepted	YES	true	blocker	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_4	Codex-Arch, Cursor-Pragmatic	accepted	EXONERATE	partially-true	nit	adequate	false	Claude	YES	true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_5	Cursor-Edge, Cursor-Pragmatic, Cursor-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_6	Cursor-Edge	accepted	YES	true	major	good	false	Claude	YES	partially-true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_7	Cursor-Edge, Cursor-Pragmatic	accepted	YES	true	major	good	false	Claude	NO	false-positive	nit	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_8	Cursor-Edge, Cursor-dyn-tally-math	accepted	YES	partially-true	major	adequate	false	Claude	NO	false-positive	nit	weak	false	Codex	YES	true	major	good	false	Cursor
FINDING_9	Cursor-Edge, Codex-Pragmatic, Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_10	Cursor-Edge, Cursor-Requirements	accepted	YES	true	major	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_11	Codex-Innovation, Cursor-dyn-schema-drift	accepted	YES	partially-true	major	adequate	false	Claude	YES	true	minor	adequate	false	Codex	YES	partially-true	minor	adequate	false	Cursor
FINDING_12	Codex-Pragmatic	accepted	YES	true	minor	adequate	false	Claude	YES	true	minor	good	false	Codex	EXONERATE	partially-true	nit	adequate	false	Cursor
FINDING_13	Cursor-Requirements	accepted	YES	true	major	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_14	Cursor-Requirements	accepted	YES	true	major	good	false	Claude	YES	partially-true	minor	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_15	Cursor-Requirements, Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_16	Cursor-Requirements, Cursor-dyn-schema-drift	accepted	YES	true	nit	good	false	Claude	YES	true	nit	adequate	false	Codex	YES	true	nit	good	false	Cursor
FINDING_17	Cursor-dyn-schema-drift, Codex-dyn-schema-drift	accepted	YES	true	major	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_18	Codex-dyn-seam-integrity	accepted	YES	true	minor	adequate	false	Claude	YES	true	minor	adequate	false	Codex	YES	true	minor	good	false	Cursor
OOS_2	Cursor-Pragmatic	accepted	YES	true	major	adequate	false	Claude	YES	true	major	adequate	false	Codex	YES	true	major	good	false	Cursor
OOS_3	Cursor-Pragmatic	accepted	YES	uncertain	minor	weak	true	Claude	YES	true	minor	adequate	false	Codex	YES	true	minor	adequate	false	Cursor
OOS_4	Cursor-dyn-schema-drift	accepted	YES	true	minor	adequate	false	Claude	YES	true	minor	adequate	false	Codex	YES	true	minor	good	false	Cursor
