finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_2	Codex-Arch	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_3	Codex-Arch	accepted	YES	true	major	good	false	Claude	YES	true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_4	Cursor-Edge	exonerated	EXONERATE	partially-true	nit	adequate	false	Claude	EXONERATE	partially-true	nit	adequate	false	Codex	EXONERATE	partially-true	minor	adequate	false	Cursor
FINDING_5	Codex-Edge, Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_6	Cursor-Innovation	accepted	YES	true	major	adequate	false	Claude	YES	partially-true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_7	Cursor-Innovation	rejected	NO	false-positive	nit	no-fix	false	Claude	EXONERATE	partially-true	nit	adequate	false	Codex	NO	false-positive	nit	no-fix	false	Cursor
FINDING_8	Cursor-Innovation	exonerated	YES	true	minor	adequate	false	Claude	EXONERATE	true	minor	weak	false	Codex	EXONERATE	true	minor	adequate	false	Cursor
FINDING_9	Codex-Innovation	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_10	Codex-Innovation	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_11	Codex-Innovation, Codex-dyn-stub-gate-mechanics	accepted	YES	true	minor	good	false	Claude	YES	true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_12	Cursor-Pragmatic	accepted	YES	true	minor	adequate	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_13	Codex-Pragmatic	accepted	YES	true	minor	good	false	Claude	YES	true	minor	good	false	Codex	YES	true	minor	excellent	false	Cursor
FINDING_14	Cursor-Requirements	accepted	YES	true	minor	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_15	Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_16	Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_17	Cursor-dyn-stub-gate-mechanics	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_18	Codex-dyn-stub-gate-mechanics	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_19	Codex-dyn-stub-gate-mechanics	accepted	YES	true	nit	adequate	false	Claude	EXONERATE	true	nit	adequate	false	Codex	YES	true	nit	good	false	Cursor
FINDING_20	Cursor-dyn-sibling-doc-sync	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_21	Codex-dyn-sibling-doc-sync	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
OOS_1	Codex-Edge	accepted	YES	true	minor	good	false	Claude	YES	true	major	no-fix	false	Codex	YES	true	minor	adequate	false	Cursor
OOS_2	Cursor-Innovation	accepted	YES	true	nit	adequate	false	Claude	EXONERATE	true	nit	no-fix	false	Codex	YES	true	nit	adequate	false	Cursor
OOS_3	Cursor-Innovation	accepted	YES	true	nit	adequate	false	Claude	EXONERATE	true	nit	no-fix	false	Codex	YES	true	nit	adequate	false	Cursor
