Reading the plan and exploring referenced codebase paths for edge-case and failure-mode review.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	integration	skills/design/scripts/plan-review-loop.sh:567-603	Loop tally argv cites $VOTER_1_PATH/$VOTER_2_PATH/$VOTER_3_PATH but only parses VOTER_PATHS_FILE from dispatch	When Codex fails, plan-voter-paths.txt is a 2-line compacted list (Claude then Cursor). Legacy --voter-files order maps the second file into the Codex quorum slot while TSV v2 gets Cursor ratings, desyncing voting_result vs vN_* columns	Parse VOTER_1/2/3_PATH plus VOTER_*_STATUS from dispatch-plan-voters.sh; emit --voter <Slot>:<path> only for non-failed slots; stop relying on paths-file order alone
2	in_scope	important	integration	skills/design/SKILL.md:758	Main-agent re-run still mandates --voter-files on voter-main-agent.txt only	After 0-judge adjudication, ratings land in a file with no v1/v2/v3 mapping; forensic TSV stays all-empty vN_* even though voting_result changes on re-tally	Update SKILL (and plan-review.md tally snippet) to re-run with --voter MainAgent:$DESIGN_TMPDIR/voter-main-agent.txt; define in tally-plan-review.md whether MainAgent counts toward eligible_count and how (if at all) those ratings appear in TSV
3	in_scope	important	correctness	skills/design/scripts/tally-plan-review.sh:107-108	FINDING_5 sanitization uses tr -d tab then tr newline-to-space	Harness case 15 and prose require tabs become a single space; tr -d removes tabs and can concatenate tokens, diverging from fixtures and breaking TSV column alignment	Use tr '\t' ' ' (or awk/sed) for tab replacement, then strip newlines; pin the exact pipeline in tally-plan-review.md and case 15
4	in_scope	important	correctness	skills/design/scripts/tally-plan-review.sh:112-119	--voter-files legacy fallback says basename inference is current behavior but no algorithm is specified	tally-plan-review.sh today has no vN mapping; test-tally uses v1.txt/v2.txt/v3.txt and test-plan-review-loop stubs use vstub*.txt, so basename rules will mis-slot or drop voters silently	Document normative rules in tally-plan-review.md (e.g., claude-vote*/codex-vote*/cursor-vote* substrings to slots; reject or WARN on unknown basenames; optional positional fallback only for harness names)
5	in_scope	important	architecture	skills/design/scripts/tally-plan-review.sh:110-119	MainAgent slot excluded from vN columns but eligible_count/voter-loop rules are unspecified	Passing --voter MainAgent:path alongside panel voters could inflate eligible_count and change accept thresholds while leaving vN_* empty, or exclude MainAgent votes from voting_result entirely	Define eligible_count as count of Claude/Codex/Cursor paths only; keep MainAgent votes in the existing vote_for_id loop but out of vN TSV columns, or document an explicit alternate column
6	in_scope	latent	risk-integration	skills/design/scripts/test-findings-classification.sh:38-55	Failure-mode #1 calls for a cross-fixture vote_for_id vs parser parity case not listed in the 16 harness cases	Parser/tally regex drift could make vN_vote disagree with voting_result while case 14 (last-line-wins only) still passes	Add a harness case that runs vote_for_id and parse-judge-vote-and-rating.sh on the same voter fixtures and asserts PARSED_VOTE matches YES/NO/EXONERATE or empty iff JUDGE_ERROR
7	in_scope	nit	correctness	skills/design/scripts/plan-review-loop.sh:218-222	panel-failed write_empty_review_artifacts path omits findings-classification.tsv materialization	FINDING_15 requires header-only TSV on every write_empty branch; panel-failed exits before tally and is not named in test-plan-review-loop.sh additions	Same header-only write as zero-findings (preferred: tally --ballot-file empty + --findings-classification-out); add a loop harness assertion for panel-failed
8	out_of_scope	nit	architecture	skills/design/SKILL.md:760	Step 3 artifact bullet list omits plan-review/round-N/findings-classification.tsv	Operators following SKILL may not know the TSV is a first-class published artifact alongside voting-tally.md	Add findings-classification.tsv to the Step 3 artifact list and point to docs/run-logs.md

**1. [integration]** [`skills/design/scripts/plan-review-loop.sh:567-603`](skills/design/scripts/plan-review-loop.sh) — The plan tells the loop to pass `--voter Claude:$VOTER_1_PATH` etc., but the script only ingests `VOTER_PATHS_FILE` (a compacted list). After a failed Codex voter, the second path is Cursor’s file; legacy `--voter-files` order treats it as the Codex judge for quorum while fixed vN columns expect Codex empty and Cursor in v3.
