round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	correctness	cursor-specialist-correctness-output.txt	0	0	1	3
1	codex	correctness	codex-specialist-correctness-output.txt	0	0	1	2
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	0	0	1	1
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	1	2	0	1
1	cursor	testing	cursor-specialist-testing-output.txt	0	0	3	3
1	codex	testing	codex-specialist-testing-output.txt	0	0	0	1
1	codex	generalist	codex-generalist-output.txt	0	0	0	0
1	cursor	dyn-dyn-guideline-drift	dyn-dyn-guideline-drift-output.txt	0	0	0	0
1	codex	dyn-dyn-guideline-drift-codex	dyn-dyn-guideline-drift-codex-output.txt	0	0	0	0
1	cursor	dyn-dyn-marker-safety	dyn-dyn-marker-safety-output.txt	1	2	3	5
1	codex	dyn-dyn-marker-safety-codex	dyn-dyn-marker-safety-codex-output.txt	0	0	0	0
