finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch, Cursor-Requirements, Cursor-Pragmatic	accepted	YES	true	major	excellent	false	Claude	YES	true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_2	Cursor-Arch, Codex-Arch, Codex-Edge, Cursor-Innovation, Codex-Innovation, Codex-Pragmatic, Codex-Requirements	accepted	YES	true	blocker	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_3	Cursor-Arch	accepted	YES	true	minor	good	false	Claude	YES	true	minor	excellent	false	Codex	YES	true	major	good	false	Cursor
FINDING_4	Cursor-Arch, Cursor-dyn-lib-api-surface, Codex-Arch, Cursor-Edge, Codex-dyn-lib-api-surface	accepted	YES	true	blocker	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	blocker	excellent	false	Cursor
FINDING_5	Cursor-Arch	accepted	YES	true	major	good	false	Claude	YES	true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_6	Cursor-Arch	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_7	Cursor-Arch	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_8	Cursor-Arch, Codex-Arch, Codex-Pragmatic	accepted	YES	true	minor	good	false	Claude	YES	true	minor	good	false	Codex	EXONERATE	true	minor	adequate	false	Cursor
FINDING_9	Cursor-Arch	accepted	YES	true	nit	adequate	false	Claude	YES	true	nit	excellent	false	Codex	EXONERATE	true	nit	adequate	false	Cursor
FINDING_10	Codex-Arch, Codex-Innovation, Codex-Pragmatic, Codex-Requirements	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_11	Codex-Edge	exonerated	EXONERATE	true	minor	adequate	false	Claude	YES	true	minor	good	false	Codex	EXONERATE	true	minor	good	false	Cursor
FINDING_12	Codex-Edge	accepted	YES	true	minor	good	false	Claude	YES	true	minor	good	false	Codex	EXONERATE	partially-true	minor	good	false	Cursor
FINDING_13	Codex-Edge	accepted	EXONERATE	true	nit	adequate	false	Claude	YES	true	nit	adequate	false	Codex	YES	true	nit	adequate	false	Cursor
FINDING_14	Codex-Innovation, Codex-Pragmatic, Cursor-dyn-glob-pattern-logic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_15	Codex-Innovation, Codex-Requirements	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
