finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	cursor-specialist-correctness-output.txt|codex-specialist-testing-output.txt	neutral						cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
FINDING_2	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-fix-completeness-output.txt|dyn-silent-meta-failure-output.txt	rejected						cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
FINDING_3	cursor-specialist-testing-output.txt|dyn-fix-completeness-output.txt|dyn-silent-meta-failure-output.txt	accepted						cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism
FINDING_4	cursor-specialist-testing-output.txt	accepted						cursor-validity	YES	true	minor	adequate	false	cursor-plan-fidelity	YES	true	minor	adequate	false	cursor-pragmatism
FINDING_5	cursor-specialist-correctness-output.txt	rejected						cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	adequate	false	cursor-pragmatism
FINDING_6	cursor-specialist-correctness-output.txt	rejected						cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	adequate	false	cursor-pragmatism
FINDING_7	cursor-specialist-testing-output.txt	rejected						cursor-validity	NO	true	nit	weak	false	cursor-plan-fidelity	NO	true	nit	weak	false	cursor-pragmatism
FINDING_8	dyn-fix-completeness-output.txt	rejected						cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
FINDING_9	dyn-fix-completeness-output.txt	rejected						cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
FINDING_10	dyn-silent-meta-failure-output.txt	rejected						cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	weak	false	cursor-pragmatism
FINDING_11	dyn-silent-meta-failure-output.txt	rejected						cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	adequate	false	cursor-pragmatism
