finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch, Cursor-dyn-push-cleanup-safety	accepted	YES	true	major	excellent	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_2	Cursor-Arch, Codex-Arch, Codex-Edge, Cursor-Requirements, Codex-Requirements, Codex-dyn-bash-contract, Codex-dyn-push-cleanup-safety	accepted	YES	true	major	excellent	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_3	Cursor-Arch, Codex-Innovation	accepted	YES	true	major	good	false	Claude							YES	true	major	good	false	Cursor
FINDING_4	Cursor-Arch, Codex-Arch, Cursor-Requirements, Codex-Requirements, Codex-dyn-push-cleanup-safety	accepted	YES	true	major	good	false	Claude							YES	true	major	good	false	Cursor
FINDING_5	Cursor-Arch	accepted	YES	true	major	adequate	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_6	Cursor-Arch, Cursor-dyn-run-log-recovery, Codex-dyn-run-log-recovery	accepted	YES	partially-true	major	good	false	Claude							YES	true	major	good	false	Cursor
FINDING_7	Codex-Arch, Cursor-Edge	accepted	YES	true	major	excellent	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_8	Codex-Arch, Codex-Edge, Cursor-Requirements, Codex-Requirements, Codex-dyn-bash-contract	accepted	YES	true	major	good	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_9	Codex-Edge	accepted	YES	true	major	good	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_10	Codex-Edge, Codex-Innovation, Codex-Pragmatic	accepted	YES	partially-true	major	good	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_11	Cursor-Innovation, Cursor-Pragmatic	accepted	YES	true	major	good	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_12	Codex-Innovation, Codex-Pragmatic, Codex-dyn-bash-contract, Codex-dyn-push-cleanup-safety	accepted	YES	true	major	excellent	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_13	Codex-Innovation, Codex-Pragmatic, Codex-dyn-bash-contract	accepted	YES	true	major	excellent	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_14	Cursor-Requirements	accepted	YES	true	nit	adequate	false	Claude							YES	true	nit	excellent	false	Cursor
