finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Codex-Innovation, Cursor-Pragmatic	accepted	NO	partially-true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_2	Cursor-Arch, Cursor-Pragmatic, Cursor-Requirements	accepted	NO	partially-true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_3	Cursor-Arch, Codex-Arch, Cursor-Innovation, Codex-Innovation, Codex-Requirements	rejected	NO	partially-true	minor	good	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	major	in_scope
FINDING_4	Cursor-Arch, Cursor-Innovation, Cursor-Requirements	accepted	NO	partially-true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	major	in_scope
FINDING_5	Cursor-Pragmatic, Codex-Pragmatic, Codex-Requirements	neutral	NO	partially-true	major	adequate	false	codex-validity	YES	partially-true	major	good	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	major	oos
FINDING_6	Codex-Pragmatic, Cursor-Requirements, Codex-Requirements	neutral	YES	true	major	good	false	codex-validity	NO	false-positive	minor	good	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	major	oos
FINDING_7	Cursor-Pragmatic, Cursor-dyn-Process Safety	neutral	NO	partially-true	minor	good	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	major	in_scope
FINDING_8	Cursor-dyn-Process Safety, Codex-dyn-Process Safety	neutral	NO	partially-true	major	good	false	codex-validity	YES	partially-true	major	good	false	codex-plan-fidelity	NO	false-positive	major	adequate	false	codex-pragmatism	major	oos
FINDING_9	Codex-dyn-Process Safety	accepted	YES	true	major	good	false	codex-validity	YES	partially-true	major	good	false	codex-plan-fidelity	NO	false-positive	major	adequate	false	codex-pragmatism	major	in_scope
FINDING_10	Codex-Arch, Cursor-Innovation	accepted	YES	true	major	good	false	codex-validity	YES	partially-true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_11	Cursor-Innovation	rejected	NO	partially-true	nit	good	false	codex-validity	NO	true	minor	good	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	minor	in_scope
OOS_1	Cursor-Arch	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	minor	oos
OOS_2	Cursor-Innovation	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	minor	oos
OOS_3	Cursor-Innovation	neutral	YES	true	minor	good	false	codex-validity	NO	false-positive	minor	adequate	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	minor	oos
OOS_4	Cursor-Innovation	neutral	YES	true	minor	good	false	codex-validity	NO	false-positive	minor	adequate	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	minor	oos
OOS_5	Cursor-Pragmatic	neutral	YES	true	minor	good	false	codex-validity	NO	false-positive	minor	adequate	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	minor	oos
