finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch	accepted	YES	true	minor	good	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_2	Codex-Arch, Codex-dyn-harness-topology	accepted	YES	true	major	good	false	Claude							YES	true	major	good	false	Cursor
FINDING_3	Cursor-Innovation, Cursor-dyn-harness-topology	accepted	YES	true	minor	good	false	Claude							YES	true	major	good	false	Cursor
FINDING_4	Cursor-Innovation	accepted	YES	true	minor	adequate	false	Claude							YES	true	major	good	false	Cursor
FINDING_5	Cursor-Innovation	accepted	YES	true	major	good	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_6	Cursor-Innovation	exonerated	EXONERATE	partially-true	nit	weak	false	Claude							EXONERATE	partially-true	minor	adequate	false	Cursor
FINDING_7	Codex-Innovation	accepted	YES	true	major	good	false	Claude							YES	true	blocker	excellent	false	Cursor
FINDING_8	Cursor-Pragmatic	accepted	YES	true	major	good	false	Claude							YES	true	major	excellent	false	Cursor
FINDING_9	Codex-Requirements, Codex-dyn-auth-contract-drift	accepted	YES	true	minor	good	false	Claude							YES	true	major	good	false	Cursor
FINDING_10	Cursor-dyn-auth-contract-drift	neutral	NO	false-positive	nit	no-fix	false	Claude							YES	true	major	good	false	Cursor
FINDING_11	Codex-dyn-auth-contract-drift	exonerated	EXONERATE	partially-true	nit	adequate	false	Claude							EXONERATE	true	nit	adequate	false	Cursor
FINDING_12	Codex-dyn-auth-contract-drift	accepted	YES	true	minor	good	false	Claude							YES	true	major	good	false	Cursor
