finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch, Codex-Arch, Cursor-Innovation, Codex-Innovation, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements, Cursor-dyn-token-env, Codex-dyn-token-env, Cursor-dyn-prompt-harness, Codex-dyn-prompt-harness	accepted	YES	true	major	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_2	Codex-Arch, Codex-dyn-token-env	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_3	Cursor-Innovation	neutral	NO	partially-true	nit	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	minor	good	false	Cursor	important
FINDING_4	Codex-dyn-token-env	rejected	NO	true	minor	adequate	false	Claude	NO	true	minor	good	false	Codex	NO	true		good	true	Cursor	latent
FINDING_5	Cursor-dyn-ship-parity	neutral	NO	partially-true	minor	good	true	Claude	NO	partially-true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_6	Codex-dyn-ship-parity	neutral	NO	true	minor	good	false	Claude	NO	true	minor	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_7	Codex-Innovation	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_8	Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_9	Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_10	Codex-dyn-ship-parity	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
OOS_1	Cursor-Innovation	neutral	YES	true	minor	adequate	false	Claude	NO	true	nit	no-fix	false	Codex	NO	true		adequate	true	Cursor	latent
