finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Codex-Arch, Cursor-Innovation, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements, Codex-Requirements	neutral	NO	true	major	excellent	false	Claude	NO	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_2	Codex-Arch, Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	minor	good	false	Cursor	important
FINDING_3	Cursor-Innovation	accepted	YES	true	major	good	false	Claude	NO	false-positive	nit	adequate	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_4	Cursor-Innovation, Codex-Pragmatic, Cursor-dyn-dedup-pagination-race, Codex-dyn-dedup-pagination-race	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_5	Cursor-Innovation, Codex-Pragmatic, Codex-Requirements	accepted	NO	uncertain	major	good	true	Claude	YES	true	major	good	false	Codex	YES	true	blocker	excellent	false	Cursor	important
FINDING_6	Cursor-Innovation	neutral	NO	true	major	good	false	Claude	NO	false-positive	nit	adequate	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_7	Cursor-Innovation	neutral	NO	uncertain	major	adequate	true	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_8	Cursor-Innovation	rejected	NO	true	minor	good	false	Claude	NO	false-positive	nit	adequate	false	Codex	NO	false-positive	minor	adequate	false	Cursor	important
FINDING_9	Codex-Innovation	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_10	Cursor-dyn-tier-b-safety-trace	neutral	NO	true	major	good	false	Claude	NO	false-positive	nit	adequate	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_11	Codex-dyn-tier-b-safety-trace	neutral	YES	true	major	good	false	Claude	NO	partially-true	minor	good	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important
FINDING_12	Codex-dyn-dedup-pagination-race	accepted	NO	false-positive	minor	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_13	Codex-dyn-dedup-pagination-race	accepted	YES	partially-true	major	good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_14	Codex-dyn-dedup-pagination-race	neutral	NO	true	minor	adequate	false	Claude	YES	true	major	adequate	false	Codex	NO	partially-true	minor	weak	false	Cursor	important
FINDING_15	Cursor-Arch	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_16	Cursor-Innovation	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_17	Codex-Innovation	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor	important
OOS_1	Cursor-Innovation	neutral	YES	true	minor	adequate	false	Claude	NO	true	nit	no-fix	false	Codex	NO	true	nit	adequate	false	Cursor	latent
