finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	codex-specialist-correctness	accepted	YES	true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	in_scope
FINDING_2	codex-specialist-correctness|cursor-specialist-testing	accepted	YES	true	minor	excellent	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	YES	true	minor	excellent	false	codex-pragmatism	in_scope
FINDING_3	codex-specialist-edge-cases	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	NO	partially-true	major	good	false	codex-pragmatism	in_scope
FINDING_4	cursor-specialist-testing	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_5	cursor-specialist-testing	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	NO	true	minor	good	false	codex-pragmatism	in_scope
FINDING_6	dyn-dyn-launch-contract	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_7	dyn-dyn-launch-contract	neutral	YES	true	major	excellent	false	codex-validity	NO	partially-true	minor	good	false	codex-plan-fidelity	NO	true	minor	good	false	codex-pragmatism	oos
FINDING_8	dyn-dyn-launch-contract	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	in_scope
OOS_1	cursor-specialist-testing	rejected	NO	true	minor	good	false	codex-validity	NO	true	minor	adequate	false	codex-plan-fidelity	NO	true	minor	good	false	codex-pragmatism	oos
OOS_2	cursor-specialist-testing|dyn-dyn-launch-contract	rejected	NO	true	minor	good	false	codex-validity	NO	true	minor	good	false	codex-plan-fidelity	NO	true	minor	good	false	codex-pragmatism	oos
OOS_3	cursor-specialist-testing	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	oos
OOS_4	dyn-dyn-launch-contract	rejected	NO	true	minor	good	false	codex-validity	NO	true	minor	good	false	codex-plan-fidelity	NO	true	minor	good	false	codex-pragmatism	oos
OOS_5	dyn-dyn-launch-contract	rejected	NO	true	minor	adequate	false	codex-validity	NO	true	minor	good	false	codex-plan-fidelity	NO	true	minor	good	false	codex-pragmatism	oos
