finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	cursor-specialist-edge-cases-output.txt|dyn-robustness-output.txt|dyn-integration-paths-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	true	nit	good	false	cursor-plan-fidelity	NO	true	nit	good	false	cursor-pragmatism
FINDING_2	dyn-robustness-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
FINDING_3	dyn-robustness-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
FINDING_4	dyn-robustness-output.txt	rejected	NO	true	minor	adequate	false	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism
FINDING_5	dyn-robustness-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_6	dyn-robustness-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism
FINDING_7	dyn-robustness-output.txt	rejected	NO	partially-true	minor	weak	true	cursor-validity	NO	partially-true	minor	weak	true	cursor-plan-fidelity	NO	partially-true	nit	weak	true	cursor-pragmatism
FINDING_8	dyn-robustness-output.txt	rejected	NO	true	minor	adequate	false	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism
FINDING_9	dyn-integration-paths-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism
FINDING_10	dyn-integration-paths-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
