finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_10	cursor-specialist-testing-output.txt	rejected	JUDGE_ERROR				true	NO	true	minor	adequate	false	NO	true	nit	adequate	false
FINDING_11	cursor-specialist-testing-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	adequate	false	NO	partially-true	nit	weak	false
FINDING_12	codex-generic-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_13	codex-generic-output.txt|dyn-step5-contract-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	excellent	false	YES	true	blocker	excellent	false
FINDING_14	codex-generic-output.txt	neutral	NO	uncertain	major	adequate	true	YES	true	major	good	false	NO	true	minor	good	false
FINDING_15	dyn-step5-contract-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	excellent	false	YES	true	major	excellent	false
FINDING_16	dyn-step5-contract-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	partially-true	major	good	false
FINDING_17	dyn-step5-contract-output.txt	rejected	JUDGE_ERROR				true	NO	true	major	no-fix	false	NO	true	nit	weak	false
FINDING_18	dyn-step5-contract-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_19	dyn-migration-surface-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	minor	good	false
FINDING_2	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_20	dyn-migration-surface-output.txt	accepted	YES	true	major	good	false	NO	partially-true	minor	adequate	false	YES	true	major	good	false
FINDING_21	dyn-migration-surface-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_22	dyn-migration-surface-output.txt	neutral	YES	true	major	excellent	false	NO	true	nit	adequate	false	NO	true	nit	good	false
FINDING_23	dyn-migration-surface-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_24	dyn-migration-surface-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_25	dyn-migration-surface-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_26	dyn-coder-dispatch-output.txt	accepted	YES	true	major	good	false	NO	partially-true	minor	weak	false	YES	true	major	good	false
FINDING_27	dyn-coder-dispatch-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	excellent	false	YES	true	blocker	excellent	false
FINDING_28	dyn-coder-dispatch-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_29	dyn-coder-dispatch-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_3	cursor-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_30	dyn-coder-dispatch-output.txt	neutral	JUDGE_ERROR				true	YES	true	major	adequate	false	NO	true	nit	weak	false
FINDING_4	cursor-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_5	cursor-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_6	cursor-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_7	cursor-specialist-testing-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	good	false	YES	true	minor	good	false
FINDING_8	cursor-specialist-testing-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_9	cursor-specialist-testing-output.txt|dyn-coder-dispatch-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	adequate	false	NO	true	nit	good	false
