finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|dyn-dedup-key-fidelity-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism
FINDING_2	cursor-specialist-correctness-output.txt|dyn-straggler-timing-output.txt|dyn-paths-file-contract-output.txt	rejected	NO	true	minor	good	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
FINDING_3	cursor-specialist-correctness-output.txt|dyn-dedup-key-fidelity-output.txt	rejected	NO	partially-true		good	true	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
FINDING_4	cursor-specialist-correctness-output.txt	rejected	NO	partially-true		adequate	true	cursor-validity	NO	partially-true	minor	adequate	false	cursor-plan-fidelity	NO	partially-true	minor	good	false	cursor-pragmatism
FINDING_5	dyn-dedup-key-fidelity-output.txt	rejected	NO	partially-true		good	true	cursor-validity	NO	partially-true	minor	adequate	false	cursor-plan-fidelity	NO	partially-true	minor	good	false	cursor-pragmatism
FINDING_6	dyn-dedup-key-fidelity-output.txt	rejected	NO	partially-true		good	true	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	partially-true	minor	adequate	true	cursor-pragmatism
FINDING_7	cursor-specialist-correctness-output.txt|dyn-paths-file-contract-output.txt	rejected	NO	false-positive		adequate	true	cursor-validity	NO	false-positive	minor	adequate	false	cursor-plan-fidelity	NO	false-positive	minor	adequate	false	cursor-pragmatism
FINDING_8	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt	neutral	YES	true	major	excellent	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	NO	true	major	good	false	cursor-pragmatism
FINDING_9	codex-specialist-testing-output.txt	rejected	NO	partially-true		good	true	cursor-validity	NO	partially-true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
FINDING_10	dyn-straggler-timing-output.txt	rejected	NO	false-positive		adequate	true	cursor-validity	NO	partially-true	minor	good	false	cursor-plan-fidelity	NO	partially-true	minor	good	false	cursor-pragmatism
FINDING_11	dyn-straggler-timing-output.txt	rejected	NO	partially-true		good	true	cursor-validity	NO	partially-true	minor	good	false	cursor-plan-fidelity	NO	partially-true	minor	adequate	false	cursor-pragmatism
FINDING_12	dyn-dedup-key-fidelity-output.txt	rejected	NO	partially-true		good	true	cursor-validity	NO	partially-true	minor	good	false	cursor-plan-fidelity	NO	partially-true	minor	good	true	cursor-pragmatism
FINDING_13	dyn-paths-file-contract-output.txt	rejected	NO	true		good	true	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	NO	true	major	good	false	cursor-pragmatism
FINDING_14	dyn-paths-file-contract-output.txt	rejected	NO	true		adequate	true	cursor-validity	JUDGE_ERROR				true	cursor-plan-fidelity	NO	true	minor	adequate	false	cursor-pragmatism
OOS_1	cursor-specialist-correctness-output.txt	accepted	YES	true	minor	adequate	false	cursor-validity	YES	true	minor	adequate	false	cursor-plan-fidelity	YES	true	minor	good	false	cursor-pragmatism
OOS_2	dyn-straggler-timing-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
OOS_3	dyn-straggler-timing-output.txt	accepted	YES	true	minor	good	false	cursor-validity	YES	true	minor	good	false	cursor-plan-fidelity	YES	true	minor	good	false	cursor-pragmatism
OOS_4	dyn-straggler-timing-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
OOS_5	dyn-dedup-key-fidelity-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
OOS_6	dyn-dedup-key-fidelity-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
OOS_7	dyn-dedup-key-fidelity-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
OOS_8	dyn-dedup-key-fidelity-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
OOS_9	dyn-paths-file-contract-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
OOS_10	dyn-paths-file-contract-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
OOS_11	dyn-paths-file-contract-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
