finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch, Cursor-Pragmatic, Cursor-Requirements, Codex-Arch, Codex-Edge, Codex-Pragmatic, Codex-Requirements, Cursor-Edge, Cursor-dyn-shell-fence-flow, Cursor-dyn-contract-sync, Cursor-Innovation, Cursor-dyn-harness-wiring, Cursor-dyn-scope-control, Codex-dyn-shell-fence-flow, Codex-dyn-harness-wiring, Codex-dyn-contract-sync	accepted							YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_2	Codex-Arch, Codex-Edge, Cursor-Pragmatic, Cursor-dyn-harness-wiring, Codex-Pragmatic, Cursor-dyn-scope-control, Cursor-dyn-shell-fence-flow, Codex-dyn-shell-fence-flow, Codex-dyn-harness-wiring, Codex-dyn-contract-sync	exonerated							YES	true	major	good	false	Codex	EXONERATE	true	nit	good	false	Cursor
FINDING_3	Cursor-Pragmatic, Cursor-dyn-harness-wiring, Cursor-dyn-contract-sync	exonerated							EXONERATE	partially-true	minor	adequate	false	Codex	YES	true	minor	good	false	Cursor
FINDING_4	Cursor-dyn-shell-fence-flow	rejected							YES	partially-true	minor	good	false	Codex					true	Cursor
FINDING_5	Cursor-dyn-harness-wiring	rejected							NO	false-positive	minor	weak	false	Codex					true	Cursor
FINDING_6	Cursor-dyn-harness-wiring	rejected							YES	true	nit	good	false	Codex					true	Cursor
FINDING_7	Codex-Innovation	exonerated							EXONERATE	partially-true	minor	weak	false	Codex					true	Cursor
FINDING_8	Cursor-dyn-scope-control	rejected							YES	partially-true	major	good	true	Codex					true	Cursor
FINDING_9	Cursor-dyn-scope-control	exonerated							EXONERATE	partially-true	minor	adequate	false	Codex					true	Cursor
FINDING_10	Cursor-dyn-scope-control	exonerated							EXONERATE	partially-true	minor	weak	false	Codex					true	Cursor
FINDING_11	Codex-dyn-scope-control	exonerated							EXONERATE	partially-true	major	adequate	false	Codex					true	Cursor
FINDING_12	Codex-dyn-scope-control	exonerated							EXONERATE	true	major	adequate	false	Codex					true	Cursor
