finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness-output.txt|dyn-dyn-exec-detail-parser-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
FINDING_2	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-generic-output.txt	accepted	NO	true	minor	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
FINDING_3	cursor-specialist-edge-cases-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	true		adequate	true	cursor-plan-fidelity	NO	partially-true		adequate	true	cursor-pragmatism	in_scope
FINDING_4	dyn-dyn-exec-detail-parser-output.txt	rejected	NO	partially-true	minor	adequate	false	cursor-validity	NO	partially-true	major	good	false	cursor-plan-fidelity	NO	partially-true	minor	good	false	cursor-pragmatism	in_scope
FINDING_5	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt	accepted	NO	true	minor	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism	in_scope
FINDING_6	codex-generic-output.txt	accepted	NO	true	minor	good	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
FINDING_7	cursor-specialist-edge-cases-output.txt|dyn-dyn-summary-splice-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	true		adequate	true	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism	in_scope
FINDING_8	dyn-dyn-summary-splice-output.txt	rejected	NO	true	minor	good	false	cursor-validity	NO	true	major	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	in_scope
FINDING_9	dyn-dyn-summary-splice-output.txt	rejected	NO	true	minor	excellent	false	cursor-validity	NO	true	major	excellent	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	in_scope
FINDING_10	cursor-specialist-testing-output.txt	accepted	NO	true	minor	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
FINDING_11	cursor-specialist-testing-output.txt	accepted	NO	true	minor	excellent	false	cursor-validity	YES	true	major	excellent	false	cursor-plan-fidelity	YES	true	major	excellent	false	cursor-pragmatism	in_scope
FINDING_12	cursor-specialist-testing-output.txt	rejected	NO	uncertain	nit	adequate	true	cursor-validity	NO	true		good	true	cursor-plan-fidelity	NO	partially-true		adequate	true	cursor-pragmatism	in_scope
FINDING_13	cursor-specialist-testing-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	partially-true		good	true	cursor-plan-fidelity	NO	partially-true		adequate	true	cursor-pragmatism	in_scope
OOS_1	cursor-specialist-edge-cases-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism	oos
OOS_2	cursor-specialist-edge-cases-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism	oos
OOS_3	dyn-dyn-exec-detail-parser-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism	oos
OOS_4	cursor-specialist-edge-cases-output.txt|dyn-dyn-summary-splice-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism	oos
OOS_5	dyn-dyn-summary-splice-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism	oos
OOS_6	dyn-dyn-summary-splice-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism	oos
OOS_7	dyn-dyn-summary-splice-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism	oos
