Reading the implementation plan and exploring the referenced codebase paths.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	skills/design/SKILL.md:230-257	Router-flag recovery guard still keys only on partition_requested OR brainstorm_requested	/design --manual with write-run-params.sh failure never enters jq merge or graceful-degrade rewrite; Gate B reads missing manual_gate_b and auto-applies despite argv	Extend the outer if/elif conditions and merge_p/merge_b-style arms to include manual_requested (and pass --manual-gate-b in the fallback write-run-params.sh call), mirroring partition/brainstorm
2	in_scope	important	correctness	skills/design/references/approval-gates.md:5	Top-level Contract still says no reviewer suggestion is ever auto-applied and user is always prompted	Normative header contradicts default auto-apply Gate B; orchestrators following Contract over the new branch may still halt for AskUserQuestion or refuse silent plan writes	Rewrite Contract to dual-mode: default auto-apply at Gate B unless --manual; Gate A/C remain prompt-gated; tally still never mutates plan.txt
3	in_scope	important	correctness	skills/design/references/approval-gates.md:76-80	Presentation subsection still requires full table plus AskUserQuestion visibility only	Auto-apply path uses a different header and 1-2 line/200-char excerpts; stale Always show the table prose fights the proposed auto-apply branch	Split Presentation into manual (existing table + prompt) vs auto-apply (compact list + breadcrumb) and drop unconditional AskUserQuestion wording
4	in_scope	important	code-quality	scripts/test-design-structure.sh:604-696	Existing FINDING_21/#2754 greps pin argv allowlist, argument-hint, write-run-params flags, and recovery jq literals	Implementing SKILL.md without matching harness updates breaks make test-design-structure (e.g. allowlist sequence grep) and leaves manual_gate_b plumbing unpinned	Add a #2930 check block: [--manual|-m] in argument-hint, flag table row, allowlist string, --manual-gate-b writer arg, recovery if condition, and manual_gate_b jq merge arm
5	in_scope	important	correctness	skills/design/SKILL.md:764,783	Step 3 and Step 3.5 normative prose still say plan revision only on explicit user choice and never auto-revised	Step 3.5 edit alone leaves contradictory MUST text at Step 3 boundary and in the Gate B step body; models may skip auto-apply or halt for a prompt	Update Step 3 tail and full Step 3.5 paragraph to dual-mode (auto-apply default; --manual restores 3-option Gate B), cross-linking approval-gates.md
6	in_scope	important	correctness	skills/design/references/plan-review.md:198,211	skills/design/references/plan-review-quick.md:23,47	Plan-review finalize still says Gate B applies findings only per explicit user choice	Contradicts default auto-apply; failure-mode grep is listed but these files are absent from Files to modify	Reconcile both plan-review references to Gate B apply contract (auto default, manual opt-in) in the same PR
7	in_scope	important	risk-integration	skills/design/SKILL.md:30	Anti-halt reminder still implies all approval gates use AskUserQuestion	Gate B auto-apply has no prompt; orchestrator may treat the step as user-waiting and halt after printing findings	Add explicit exception: Step 3.5 auto-apply continues immediately to Apply-all pipeline and Step 3b without AskUserQuestion
8	in_scope	latent	correctness	skills/design/references/approval-gates.md:97	Proposed read uses jq -r '.manual_gate_b // false' without boolean coercion	Corrupt run-params (string "maybe", numeric 1) can mis-route between auto and manual modes	Use jq test (.manual_gate_b == true) or strict string compare against true/false only
9	in_scope	latent	architecture	skills/design/references/approval-gates.md:86-87	Apply-all body duplication is mitigation-only, not a required refactor	Two copies of long Apply-all prose (manual option a vs auto-apply) can drift on dedup-sweep/validator/Step 2b.5 ordering	Require a shared Apply-all body subsection referenced verbatim by both branches (per plan Failure modes #3)
10	in_scope	nit	architecture	skills/design/SKILL.md:17-18	Tier flag table still claims --hard uses per-finding approval on accepted findings	Post-change default auto-applies at Gate B for all tiers; table misleads operators choosing --hard for manual control	Reword tier Purpose cells to describe sketch/review depth only; point Gate B mode to --manual
