Reviewing the plan and referenced scripts against the proposed changes.
Checking `emit_kv` behavior and the cycle test's artifact assertions.
Checking whether contiguous piece numbering is assumed elsewhere and validating the cycle-test vs. plan comparison.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	skills/design/scripts/test-decompose-file-issues.sh (proposed p2c; plan Failure modes ~159-160)	Plan claims the multi-blocker fixture catches dedupe regression (5 edges vs 4) on the canonical comma-list shape	The proposed fixture uses four distinct blockers (Pieces 1–4); if per-line dedupe breaks, that input still emits exactly four edges and all greps/wc assertions pass	Revise the failure-modes text; add a small fixture (e.g. Piece 5 blocked by `blocked-by Piece 1, Piece 1`) asserting one edge and `wc -l == 1`, or drop the false mitigation claim
2	in_scope	important	correctness	skills/design/scripts/test-decompose-file-issues.sh:90 vs proposed p2d (plan ~125-129)	Plan says bad-ref artifact-absence checks “match” the cycle test, but cycle only asserts `partition-input.txt` is absent, not `partition-deps.tsv`	Cycle test leaves `partition-deps.tsv` unasserted; plan prose overstates existing coverage	Keep p2d’s stricter `partition-deps.tsv` negation; fix plan wording to say p2d extends cycle coverage; optionally add `[[ ! -f .../partition-deps.tsv ]]` to the cycle section for parity
3	in_scope	latent	correctness	skills/design/scripts/decompose-file-issues.sh:97-104 (proposed Python)	`re.findall(r"Piece\s+(\d+)", m_anchor.group(1))` scans the entire post-`blocked-by` tail	A dependency like `blocked-by Piece 1 (defer Piece 99)` can add a spurious edge or spurious `bad-dependency-ref` from narrative text, not panel tokens	Constrain parsing to the existing token grammar (comma/`and`-separated list) or document that only bare `Piece N` lists are valid and prose after the list is unsupported
4	in_scope	latent	correctness	skills/design/scripts/test-decompose-file-issues.sh (proposed insert ~80)	Edge cases and proposed doc promise `and` separators; no harness section covers them	`blocked-by Piece 1 and Piece 2` could regress to zero/one edge without failing CI	Add a minimal `p2e` prepare case with `and` and two `grep -Fq` edge assertions (mirror p2c style)
5	in_scope	nit	code-quality	skills/design/scripts/test-decompose-file-issues.sh:61 vs proposed p2c (plan ~89-95)	`p2c` asserts `partition-deps.tsv` and edges but not `partition-input.txt`, unlike happy-path `p1`	A prepare regression that writes deps but skips/breaks batch input would not be caught by the new section	After status `ok`, add `[[ -f "$D2c/decompose/partition-input.txt" ]] || fail ...` like `p1`
6	in_scope	latent	architecture	skills/design/scripts/decompose-file-issues.md (proposed Edge-extraction bullet)	Proposed doc says each `Piece N` token “emits” a TSV edge without stating cells are 1-based batch positions (`index+1`), not always header numbers	TSV is `index_by_num`-derived (`decompose-file-issues.sh:158-160`); non-contiguous piece numbering (e.g. Pieces 1 and 5 only) yields `1\t2`, not `1\t5`	Clarify in the new bullet that TSV columns are 1-based sorted-batch indices (aligned with `decompose-panel.md:146`), with contiguous 1..n partitions coinciding with piece numbers
7	out_of_scope	latent	correctness	skills/design/scripts/test-decompose-file-issues.sh:90	Cycle prepare test still omits `partition-deps.tsv` absence assertion	Same non-ok cleanup as bad-ref (`decompose-file-issues.sh:176-178`) but weaker regression signal than proposed p2d	Add `[[ ! -f "$D2/decompose/partition-deps.tsv ]]` beside the existing `partition-input.txt` check when touching this harness
8	out_of_scope	nit	code-quality	skills/design/scripts/test-decompose-file-issues.md:1-5	Plan updates `decompose-file-issues.md` only; harness markdown not mentioned	Harness doc drift vs new prepare cases	Append one line to `test-decompose-file-issues.md` listing multi-blocker and bad-ref-multi prepare coverage

**Verified aligned (no finding):** `prepare` flags (`--design-tmpdir`, `--partition-file`, optional `--issue-number`) match `decompose-file-issues.sh:27-36`; with `LARCH_QUIET_DISABLE=1`, `emit_kv` prints to stdout (`scripts/lib-quiet.sh:53-54,122-128`) and fixtures correctly grep captured output while Python status lives in `decompose/prepare-python.log` (`decompose-file-issues.sh:42-44,167-170`); exit-2 cleanup removes both batch artifacts (`176-178`); proposed `1\t5`…`4\t5` greps match `fh.write(f"{a + 1}\t{b + 1}\n")` for contiguous Pieces 1–5; `wc -l` with stdin redirection is consistent with existing harness `wc` usage and safe in bash `[[ -eq ]]` on macOS padded output.
