finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness|cursor-specialist-edge-cases	neutral	YES	partially-true	minor	adequate	false	codex-validity	NO	false-positive	nit	good	false	codex-plan-fidelity	NO	false-positive	minor	adequate	false	codex-pragmatism	oos
FINDING_2	cursor-specialist-correctness|dyn-dyn-occurrence-baseline	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	oos
FINDING_3	codex-specialist-correctness|cursor-specialist-edge-cases|codex-specialist-edge-cases	accepted	YES	true	major	adequate	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	oos
FINDING_4	codex-specialist-correctness|codex-specialist-edge-cases	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_5	codex-specialist-correctness	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	excellent	false	codex-pragmatism	in_scope
FINDING_6	codex-specialist-edge-cases|codex-specialist-testing|dyn-dyn-occurrence-baseline	accepted	YES	true	major	adequate	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	in_scope
FINDING_7	cursor-specialist-testing	rejected	NO	true	nit	adequate	false	codex-validity	NO	true	nit	excellent	false	codex-plan-fidelity	NO	true	nit	adequate	false	codex-pragmatism	oos
FINDING_8	codex-specialist-testing	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_9	codex-specialist-testing	rejected	NO	true	nit	adequate	false	codex-validity	NO	partially-true	minor	good	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	in_scope
FINDING_10	dyn-dyn-occurrence-baseline	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	oos
FINDING_11	dyn-dyn-occurrence-baseline	accepted	NO	true	nit	adequate	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	oos
