Reviewing the implementation plan against stated requirements; reading the plan and exploring cited codebase paths.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	plan.txt:26-27; feature-description.txt:11-12	ci-wait progress lines planned as --category=progress but issue #2790 item 2 requires --category=wait-ci for progress-tier larch_errf conversions	CI wait breadcrumbs use the wrong stream category; operators filtering on wait-ci miss the highest-impact Family-B script surface	Relabel plan lines 183-187 and 267-270 (and other CI-wait progress-tier conversions) to wait-ci per issue item 2; reserve progress only where issue text explicitly allows
2	in_scope	important	architecture	plan.txt:128-135; scripts/design-log-publish.sh:257-274; skills/implement/SKILL.md:672-675; scripts/larch-log-flush.sh:44-50	Plan adds larch-log breadcrumbs batch writer but names no skill/script caller to invoke larch-log.sh write --batch breadcrumbs --input-dir before commit	Redacted ndjson streams stay only under $*_TMPDIR/breadcrumbs/ and never reach larch-logs/<run-id>/breadcrumbs/ despite item 6	Add explicit flush steps: design-log-publish.sh (and/or Step 7a / refresh-run-logs / larch-log-flush) calling larch-log.sh with the new batch; document per-skill tmpdir input path
3	in_scope	important	correctness	plan.txt:199-205; feature-description.txt:27-29	Testing strategy defers item 4 harnesses but still copies issue acceptance requiring make test-breadcrumb-monitor and make test-breadcrumb-monitor-bash32	Core-only PR cannot satisfy stated acceptance; merge gate ambiguous	Amend in-scope acceptance to the listed existing targets only, or narrow issue acceptance for the core slice and keep full harness list solely in OOS item 4/7
4	in_scope	important	risk-integration	plan.txt:123-126; scripts/larch-log-batches.md:34-35; scripts/test-larch-logs-batches.sh:54-56	New batch row uses extension / and sanitizer breadcrumb-streaming but plan omits scripts/test-larch-logs-batches.sh (and lib-larch-log.sh validate case) updates	make test-larch-logs-batches fails immediately after batch registration (listed in plan acceptance)	Extend plan to update test-larch-logs-batches.sh allowlists and lib-larch-log.sh sanitizer handling for breadcrumb-streaming; keep larch-log-batches.md sync note
5	in_scope	important	security	correctness	plan.txt:133-135; plan.txt:189-191	Item 6 / feature text says fail-closed on redactor error; plan chooses per-file skip + Warnings + continue (Q4) without reconciling issue #2790 item 6 wording	Operators expect publish abort on redaction failure; partial runs commit logs missing breadcrumb files silently	Update issue-facing contract in plan Approach (or add Step 1c rationale) and ensure append-tool-failure + audit grep path is specified; do not leave contradictory fail-closed vs skip language
6	in_scope	important	security	plan.txt:135; plan.txt:189-191	Symlink guard uses readlink/realpath vs DESIGN_TMPDIR only; edge case 6 mandates -L and no readlink follow	Implement path may follow symlinks out of session tmpdir on implement/review runs; edge-case text contradicts implementation spec	Unify on -L skip under the actual --input-dir root (IMPLEMENT_TMPDIR/DESIGN_TMPDIR/REVIEW_TMPDIR); drop readlink-follow escape check or scope realpath to input-dir prefix only
7	in_scope	important	correctness	plan.txt:11-13; scripts/larch-log.sh:229-258	Directory batch bypasses existing write path (requires --input-file, larch_log_redact_file, validate_batch_payload) without specifying how breadcrumb-streaming sanitizer integrates	New write branch may double-redact, skip validation, or hit unknown sanitizer for batch breadcrumbs	Spell implementation: separate cmd branch, sanitizer=none or new validate hook, per-file streaming redact only, and whether larch_log_batch_path with ext / is valid for commit copy
8	in_scope	latent	correctness	plan.txt:205-206	Spot-check grep scope is scripts/ and skills/*/scripts/ only; emit_breadcrumb also exists in .claude/skills/bump-version/scripts/apply-bump.sh and multiple test-*.sh harnesses	Uncategorized callsites remain after core migration; CI grep passes while dev/harness paths still omit --category=	Expand migration table or document explicit exclusions; extend spot-check to .claude/skills/**/scripts and test harnesses that set LARCH_BREADCRUMB_STREAM
9	in_scope	nit	architecture	plan.txt:13-14; scripts/breadcrumb-monitor.md (missing)	PR #2786 left breadcrumb-monitor.sh undocumented; plan adds .md siblings but does not require updating scripts/ci-wait.md for emit_breadcrumb conversion	Operator docs for ci-wait still describe larch_errf-only progress	Add ci-wait.md (or cross-link in breadcrumb-monitor.md denylist table) to the NEW/UPDATED doc list
10	out_of_scope	latent	architecture	feature-description.txt:15-16	[OUT_OF_SCOPE] Item 4 test harnesses deferred — no regression lock for trap chain, streaming PEM, or byte-identical lib-quiet adoption	Deferred to follow-up; acceptable only if OOS issue filed in Step 5b	File blocked-by-2790 issue per plan OOS section
11	out_of_scope	latent	architecture	feature-description.txt:21-25	[OUT_OF_SCOPE] Items 7-9 (Makefile/docs/SECURITY/run-logs/foreground-marker rewrites) not in core slice	Expected for core-only plan; leaves docs and CI registration gaps until follow-ups	File separate blocked-by-2790 issues per plan OOS section

