finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch, Cursor-Edge, Codex-Edge, Cursor-Innovation, Codex-Innovation, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements, Codex-Requirements, Cursor-dyn-callsite-scanner, Codex-dyn-callsite-scanner, Cursor-dyn-path-existence-verifier	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_2	Cursor-Arch, Codex-Edge, Codex-Innovation, Cursor-dyn-callsite-scanner, Codex-dyn-callsite-scanner, Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_3	Cursor-Arch, Cursor-dyn-callsite-scanner, Cursor-dyn-path-existence-verifier	accepted	YES	partially-true	minor	good	false	Claude	YES	partially-true	major	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_4	Cursor-Arch, Codex-Arch, Codex-Edge, Codex-Innovation, Codex-Pragmatic, Codex-Requirements, Cursor-dyn-callsite-scanner, Codex-dyn-callsite-scanner, Cursor-dyn-path-existence-verifier, Codex-dyn-path-existence-verifier, Codex-dyn-test-pin-exactness	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_5	Cursor-Arch, Codex-Arch, Codex-Pragmatic, Cursor-dyn-callsite-scanner, Cursor-dyn-path-existence-verifier, Codex-dyn-path-existence-verifier, Cursor-dyn-test-pin-exactness, Codex-dyn-test-pin-exactness	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_6	Codex-Arch, Codex-Innovation, Codex-Requirements	accepted	YES	true	nit	adequate	false	Claude	YES	true	nit	good	false	Codex	YES	true	nit	good	false	Cursor
FINDING_7	Cursor-dyn-callsite-scanner	exonerated	EXONERATE	partially-true	nit	adequate	false	Claude	YES	true	nit	adequate	false	Codex	EXONERATE	true	nit	adequate	false	Cursor
FINDING_8	Cursor-dyn-path-existence-verifier	accepted	EXONERATE	uncertain	minor	adequate	true	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_9	Cursor-dyn-path-existence-verifier	accepted	YES	true	minor	adequate	false	Claude	YES	partially-true	minor	adequate	false	Codex	YES	true	minor	good	false	Cursor
FINDING_10	Codex-dyn-path-existence-verifier	accepted	YES	true	nit	adequate	false	Claude	YES	true	nit	excellent	false	Codex	EXONERATE	true	nit	adequate	false	Cursor
OOS_2	Cursor-dyn-path-existence-verifier	accepted	YES	true	nit	adequate	false	Claude	EXONERATE	true	nit	adequate	false	Codex	YES	true	nit	excellent	false	Cursor
OOS_3	Codex-dyn-path-existence-verifier	accepted	YES	true	nit	adequate	false	Claude	EXONERATE	true	nit	adequate	false	Codex	YES	true	nit	good	false	Cursor
