Cursor-Arch	1	in_scope	important	architecture	skills/design/SKILL.md:28	The anti-halt step-boundary list sequences 2b→3 with no 2b.5 gate	Orchestrators may skip the new plan-size sub-step because the canonical continuation chain still names Step 3 as the immediate successor of 2b	Extend the chain to 2b→2b.5→3 and sweep other 2b→3-only continuation prose (e.g. near EMIT_PLAN) for the same invariant
Cursor-Arch	1	in_scope	important	architecture	skills/design/SKILL.md:3-4,README.md:58-59,docs/skills.md:50	New public -p/--partition flag is not reflected in argument-hint or consumer-facing argv mirrors	Operators and docs disagree with flags.md; repo convention co-evolves SKILL frontmatter README and docs/skills with new argv	Add the flag to SKILL.md argument-hint and compact table README /design row and docs/skills.md Arguments line in the same PR
Cursor-Arch	1	in_scope	important	architecture	skills/design/references/flags.md:5-20	Opening Contract line and Public flags bullets still enumerate only five public argv tokens	Normative doc contradicts the shipped parser once --partition exists; mutual-exclusion rules for trivial+partition are easy to misplace	Update the Contract parenthetical add a --partition / -p bullet and document trivial mutual exclusion alongside existing tier rules
Cursor-Arch	1	in_scope	important	risk-integration	plan.txt:22-27	--partition forces soft-branch logic even when HARD_TRIGGER_FIRED=true	Very large plans can still offer Continue with current scope bypassing the no-override hard gate	Either declare this an intentional escape hatch or branch so hard metrics always use the Split Cancel panel regardless of partition using partition only below hard thresholds
Cursor-Arch	1	in_scope	important	correctness	skills/design/scripts/emit-plan.sh:51-59 vs plan NEW check-plan-size.sh	Plan defines PLAN_LINES after removing a single trailing diff_lines line while diff parsing uses the last matching diff_lines line	Earlier diff_lines lines in the body inflate PLAN_LINES and can fire false soft hard triggers	Define body counting to strip or ignore every ^diff_lines line or all contiguous trailer matches and add a harness case for duplicate trailers
Cursor-Arch	1	in_scope	nit	correctness	plan.txt:66-67	Test case 11 claims all three numeric boundaries but cases 1-10 emphasize diff_lines	Plan-body 250 251 and files 8 9 boundaries may ship untested despite the written strategy	Narrow the prose or add explicit fixtures for PLAN_LINES and FILES_COUNT boundaries matching the soft thresholds
Cursor-dyn-flag-lifecycle	1	in_scope	important	architecture	<TMPDIR>/plan.txt:22-30	Step 2b.5 and Edge-cases describe `--partition` as argv-only for overrides and re-runs but do not persist a machine-readable flag alongside `$DESIGN_TMPDIR` session state.	After initial argv parse the orchestrator does not re-read `$ARGUMENTS` on Gate B `ACTION=EMIT_PLAN` re-fire ([skills/design/references/approval-gates.md:86-87](skills/design/references/approval-gates.md)) or Gate A discussion revision with `ACTION=EMIT_PLAN` ([skills/design/references/discussion-rounds.md:121](skills/design/references/discussion-rounds.md)); `run-params.json` is the existing persisted router artifact ([skills/design/SKILL.md:170-201](skills/design/SKILL.md), [scripts/write-run-params.md:19-21](scripts/write-run-params.md)) but its schema has no partition field today.	Extend the plan to add a persisted key (e.g. extend `write-run-params.sh` / `run-params.json` schema and `write-run-params.md` tests, or add an `export`ed key via `write-design-current-env.sh` per [scripts/write-design-current-env.md:26-33](scripts/write-design-current-env.md)) and require Step 2b.5 to branch on that artifact on every plan emit, not raw argv alone.
Cursor-dyn-flag-lifecycle	1	in_scope	important	correctness	<TMPDIR>/plan.txt:27-28	Split-path preservation is justified solely via `PLAN_WRITE_OK=true` gating Step 6 cleanup.	`PLAN_WRITE_OK` is only assigned in Step 5c as the outcome of `plan-block-write.sh` ([skills/design/SKILL.md:768-769](skills/design/SKILL.md)); it is not a general early-exit latch. Step 6 cleanup is additionally constrained to run only after the Step 5 machine footer when `PLAN_WRITE_OK=true` ([skills/design/SKILL.md:788-799](skills/design/SKILL.md)). Framing 1c/1d Split preservation as `PLAN_WRITE_OK` misstates the mechanism and could mislead implementers about when to set or read that variable.	Revise Split-path text to state explicit abort without reaching Step 5 footer / Step 6 cleanup path (and optionally note `PLAN_WRITE_OK` remains unset or irrelevant until Step 5c), matching the actual Step 6 contract.
Cursor-dyn-flag-lifecycle	1	in_scope	nit	correctness	<TMPDIR>/plan.txt:5-6 vs 20-21	Internal wording conflict: Approach places argv parse and mutual exclusion in Step 0b while Files-to-modify says abort before Step 0.	Implementers may place `--trivial`/`--partition` validation before `session-setup.sh` where `DESIGN_TMPDIR` does not exist yet, conflicting with Terminal cost line rules that require `$DESIGN_TMPDIR` post-0a ([skills/design/SKILL.md:206-208](skills/design/SKILL.md)).	Standardize on one ordering phrase (e.g. first validation inside Step 0b item 1 immediately after public flag parse, before clarify/issue side effects) and drop the ambiguous before Step 0 wording.
Cursor-dyn-flag-lifecycle	1	out_of_scope	nit	risk-integration	skills/design/SKILL.md:4	`argument-hint` frontmatter still documents only tier flags; plan only calls out the compact table under Step 0b.	CLI discoverability / consumer docs drift if the hint string is not updated when `-p`/`--partition` ships.	When implementing, extend `argument-hint` in [skills/design/SKILL.md:4](skills/design/SKILL.md) (or follow repo convention for that field).
