finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt	accepted	YES	true	major	good	false	NO	false-positive	nit	weak	false	YES	true	minor	good	false
FINDING_10	codex-generic-output.txt	accepted	NO	partially-true	minor	adequate	true	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_11	codex-generic-output.txt	accepted	NO	partially-true	minor	adequate	true	YES	true	major	good	false	YES	true	major	good	false
FINDING_12	dyn-retry-cutover-output.txt	neutral	NO	true	minor	good	false	YES	true	minor	good	false	NO	true		adequate	true
FINDING_13	dyn-retry-cutover-output.txt	neutral	NO	true	minor	good	false	YES	true	minor	good	false	NO	true		adequate	true
FINDING_14	dyn-retry-cutover-output.txt	neutral	NO	partially-true	minor	adequate	false	YES	true	minor	good	false	NO	true		adequate	true
FINDING_15	cursor-specialist-correctness-output.txt	neutral	NO	true	nit	no-fix	false	YES	true	minor	no-fix	false	NO	true	minor	weak	false
FINDING_16	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	no-fix	false	NO	partially-true	nit	no-fix	false	NO	true	nit	weak	false
FINDING_17	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	good	false	NO	true	nit	adequate	false
FINDING_18	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	good	false	NO	true	nit	adequate	false
FINDING_19	dyn-retry-cutover-output.txt	rejected	NO			no-fix	true	NO	true	minor	no-fix	false	NO	true		no-fix	true
FINDING_2	cursor-specialist-correctness-output.txt	accepted	YES	true	minor	adequate	true	NO	true	minor	good	false	YES	true	major	excellent	false
FINDING_20	dyn-retry-cutover-output.txt	rejected	NO	true		no-fix	true	NO	partially-true	minor	no-fix	false	NO	true		weak	true
FINDING_3	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	excellent	false	YES	true	major	excellent	false
FINDING_4	cursor-specialist-correctness-output.txt	accepted	NO	true	minor	adequate	false	YES	true	major	good	false	YES	true	minor	good	false
FINDING_5	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	nit	adequate	false	NO	true	minor	good	false	NO	partially-true		adequate	true
FINDING_6	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_7	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt	accepted	YES	partially-true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_8	cursor-specialist-testing-output.txt	neutral	NO	partially-true	nit	adequate	false	YES	true	major	good	false	NO	true		adequate	true
FINDING_9	cursor-specialist-edge-cases-output.txt	rejected	NO			no-fix	true	NO	true	minor	adequate	false	NO	true		adequate	true
