name	text	bail	step	detail_valid	exit_code	implement
migration-governance		migration governance blocked: stale	8	false	1	true
rebase			rebase-failed	false	1	false
checks-child		checks-child-failed	3	false	-15	false
checks-child-huge-positive		checks-child-failed	3	false	999999999999999999999999999999999999	false
checks-child-huge-negative		checks-child-failed	3	false	-999999999999999999999999999999999999	false
step-contract	pytest failed		6	false	1	false
merge-cap			merge-loop-iteration-cap	false	1	false
protected-bail		protected-path-edit-required-out-of-scope	2	false	1	false
submodule-bail		submodule-edit-required-out-of-scope	2	false	1	false
adopted-closed		adopted-issue-closed	8	false	1	false
tracking-init		tracking-init-failed	8	false	1	false
recovery-scope		recovery-out-of-scope	8	false	1	false
ci-cap	pytest failed	ci-fix-exhausted	10	false	3	false
ci-cap-detail	pytest failed	ci-fix-exhausted	10	true	3	false
ship-refresh	lint failed preterminal-outcome		8	false	1	false
lint-bail	timeout lint-fix-attempt-cap		5	false	1	false
lint-bail-failed	timeout lint-fix-failed		5	false	1	false
lint-bail-main-agent	timeout lint-fix-main-agent-required		5	false	1	false
lint-bail-commit	timeout lint-fix-commit-failed		5	false	1	false
lint-bail-resume	timeout resume-handoff-commit-failed		5	false	1	false
lint-bail-review	timeout review-fix-commit-failed		5	false	1	false
submodule-text	submodule-edit-required-out-of-scope		2	false	1	false
protected-text	protected-path-edit-required-out-of-scope		2	false	1	false
test-output	pytest failed		2	false	1	false
lint-output	lint failed		5	false	1	false
dispatch-bail		manifest-missing	2	false	1	false
dispatch-output	invalid task envelope		2	false	1	false
transient	network timeout		8	false	1	false
fallback	opaque failure		8	false	1	false
