finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch	accepted	NO	partially-true	minor	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_2	Codex-Arch	accepted	NO	true	major	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_3	Cursor-Innovation, Cursor-dyn-sweep-gap-detection	neutral	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_4	Codex-Innovation	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_5	Codex-Innovation	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important
FINDING_6	Cursor-Pragmatic, Cursor-dyn-sweep-gap-detection	accepted	NO	partially-true	minor	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_7	Codex-Pragmatic	neutral	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_8	Cursor-Requirements	accepted	NO	partially-true	minor	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_9	Cursor-dyn-envelope-verb-spec, Codex-dyn-envelope-verb-spec	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_10	Codex-dyn-envelope-verb-spec	accepted	YES	true	minor	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
OOS_1	Cursor-Requirements	neutral	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	major	adequate	false	Cursor	latent
