finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Codex-Arch, Cursor-Innovation, Codex-Innovation, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements, Codex-Requirements, Cursor-dyn-Bg Wait Invariants	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	blocking	in_scope
FINDING_2	Cursor-dyn-Bg Wait Invariants	accepted	YES	true	major	adequate	false	Claude	YES	true	minor	good	false	Codex	YES	true	minor	good	false	Cursor	important	in_scope
FINDING_3	Cursor-Innovation	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_4	Cursor-dyn-Bg Wait Invariants	accepted	YES	true	minor	adequate	true	Claude	NO	partially-true	nit	adequate	false	Codex	YES	true	major	good	false	Cursor	latent	in_scope
FINDING_5	Cursor-Arch	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	blocking	in_scope
FINDING_6	Cursor-Arch	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	blocking	in_scope
FINDING_7	Cursor-Innovation	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	blocking	in_scope
OOS_1	Cursor-Arch	neutral	YES	true	minor	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent	oos
OOS_2	Cursor-Arch	neutral	YES	true	minor	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent	oos
OOS_3	Cursor-Innovation	neutral	YES	true	minor	good	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent	oos
OOS_4	Cursor-Innovation	neutral	YES	true	minor	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	true	nit	weak	false	Cursor	latent	oos
OOS_5	Cursor-dyn-Bg Wait Invariants	neutral	YES	true	minor	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	partially-true	nit	adequate	false	Cursor	latent	oos
OOS_6	Cursor-dyn-Bg Wait Invariants	rejected	NO	true	nit	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	true	nit	no-fix	false	Cursor	nit	oos
OOS_7	Cursor-dyn-Bg Wait Invariants	rejected	NO	true	nit	weak	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	partially-true	nit	adequate	false	Cursor	latent	oos
