finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Cursor-dyn-Cli Boundary	accepted	YES	true	major	excellent	false	Claude	YES	true	blocker	excellent	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_2	Codex-Arch, Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_3	Cursor-dyn-Stdlib Parser	accepted	YES	partially-true	major	adequate	true	Claude	YES	true	blocker	excellent	false	Codex	YES	true	blocker	excellent	false	Cursor	blocking	in_scope
FINDING_4	Cursor-Innovation, Cursor-Pragmatic	neutral	YES	true	blocker	excellent	false	Claude	NO	false-positive	major	good	false	Codex	NO	partially-true	major	good	false	Cursor	important	in_scope
FINDING_5	Codex-Innovation	accepted	YES	partially-true	major	good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_6	Cursor-Pragmatic	accepted	YES	partially-true	major	good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_7	Codex-Arch	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	major	adequate	false	Cursor	important	in_scope
FINDING_8	Codex-Innovation	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	major	adequate	false	Cursor	important	in_scope
FINDING_9	Codex-Pragmatic	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	major	adequate	false	Cursor	important	in_scope
FINDING_10	Codex-Requirements	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	major	adequate	false	Cursor	important	in_scope
FINDING_11	Codex-dyn-Stdlib Parser	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	major	adequate	false	Cursor	important	in_scope
FINDING_12	Codex-dyn-Retired Surface	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	major	adequate	false	Cursor	important	in_scope
FINDING_13	Codex-dyn-Cli Boundary	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	major	adequate	false	Cursor	important	in_scope
OOS_1	Cursor-Pragmatic	neutral	NO	true	minor	adequate	false	Claude	NO	true	minor	adequate	false	Codex	YES	true	minor	adequate	false	Cursor	latent	oos
