finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch, Cursor-Pragmatic	neutral	YES	true	major	good	false	Claude	NO	partially-true	major	good	false	Codex	NO	false-positive	minor	adequate	false	Cursor	blocking
FINDING_2	Cursor-Innovation, Cursor-Requirements, Cursor-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_3	Cursor-Pragmatic	accepted	YES	true	minor	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_4	Cursor-Pragmatic	rejected	NO	true	minor	adequate	false	Claude	NO	true	minor	good	false	Codex	NO	true	minor	good	false	Cursor	important
FINDING_5	Cursor-Pragmatic	rejected	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important
FINDING_6	Cursor-Pragmatic	rejected	NO	partially-true	minor	adequate	false	Claude	NO	false-positive	major	good	false	Codex	NO	false-positive	minor	adequate	false	Cursor	important
FINDING_7	Cursor-Pragmatic, Cursor-Requirements	rejected	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	false-positive	minor	adequate	false	Cursor	important
FINDING_8	Cursor-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_9	Cursor-Requirements	rejected	NO	true	nit	adequate	false	Claude	NO	partially-true	minor	good	false	Codex	NO	partially-true	minor	good	false	Cursor	important
FINDING_10	Codex-Generic	accepted	YES	true	blocker	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
