finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt	exonerated	EXONERATE	true	nit	adequate	false	EXONERATE	true	minor	weak	false	EXONERATE	true	minor	adequate	false
FINDING_10	cursor-specialist-edge-cases-output.txt|dyn-ship-resume-output.txt|dyn-route-contract-output.txt	accepted	YES	true	major	adequate	false	EXONERATE	true	minor	weak	false	YES	true	major	good	false
FINDING_11	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	true	nit	adequate	false	YES	partially-true	minor	adequate	false	EXONERATE	partially-true		weak	true
FINDING_12	cursor-specialist-plan-fidelity-output.txt	rejected	JUDGE_ERROR				true	NO	false-positive	nit	no-fix	false	NO	partially-true	nit	no-fix	false
FINDING_13	dyn-ship-resume-output.txt	accepted	YES	true	major	adequate	false	YES	true	minor	adequate	false	EXONERATE	true	minor	adequate	false
FINDING_14	dyn-ship-resume-output.txt	exonerated	JUDGE_ERROR				true	EXONERATE	true	nit	weak	false	YES	true	nit	good	false
FINDING_15	dyn-ship-resume-output.txt	rejected	JUDGE_ERROR				true	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_16	dyn-state-hygiene-output.txt	exonerated	EXONERATE	true	nit	adequate	false	YES	partially-true	minor	adequate	false	EXONERATE	true	minor	adequate	false
FINDING_17	dyn-state-hygiene-output.txt	exonerated	EXONERATE	partially-true	nit	adequate	false	YES	true	major	adequate	false	EXONERATE	partially-true	minor	weak	false
FINDING_18	dyn-state-hygiene-output.txt	exonerated	EXONERATE	true	nit	adequate	false	YES	true	minor	adequate	false	EXONERATE	true		adequate	true
FINDING_19	dyn-state-hygiene-output.txt	exonerated	EXONERATE	partially-true	nit	adequate	false	EXONERATE	partially-true	nit	weak	false	EXONERATE	partially-true	minor	weak	false
FINDING_2	cursor-specialist-structure-output.txt	exonerated	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	weak	false
FINDING_20	dyn-state-hygiene-output.txt	rejected	JUDGE_ERROR				true	NO	false-positive	nit	no-fix	false	NO	partially-true	nit	no-fix	false
FINDING_21	dyn-state-hygiene-output.txt	exonerated	JUDGE_ERROR				true	EXONERATE	true	minor	weak	false	NO	true		no-fix	true
FINDING_22	dyn-state-hygiene-output.txt	exonerated	JUDGE_ERROR				true	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	weak	false
FINDING_23	dyn-route-contract-output.txt	exonerated	JUDGE_ERROR				true	EXONERATE	partially-true	nit	weak	false	NO	false-positive	nit	no-fix	false
FINDING_24	dyn-route-contract-output.txt	exonerated	JUDGE_ERROR				true	YES	true	nit	adequate	false	EXONERATE	true	nit	adequate	false
FINDING_25	dyn-harness-realism-output.txt	accepted	YES	uncertain	major	adequate	true	YES	true	minor	adequate	false	YES	true		good	true
FINDING_26	dyn-harness-realism-output.txt	exonerated	EXONERATE	true	nit	adequate	false	EXONERATE	true	minor	weak	false	EXONERATE	true	minor	weak	false
FINDING_27	dyn-harness-realism-output.txt	exonerated	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	weak	false	EXONERATE	true		adequate	true
FINDING_28	dyn-harness-realism-output.txt	accepted	YES	uncertain	major	adequate	true	YES	true	minor	adequate	false	EXONERATE	true		adequate	true
FINDING_29	dyn-harness-realism-output.txt	exonerated	JUDGE_ERROR				true	EXONERATE	true	nit	weak	false	EXONERATE	partially-true	nit	weak	false
FINDING_3	cursor-specialist-structure-output.txt	exonerated	EXONERATE	partially-true	nit	weak	false	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	weak	false
FINDING_30	dyn-harness-realism-output.txt	exonerated	JUDGE_ERROR				true	EXONERATE	true	minor	weak	false	EXONERATE	true		weak	true
FINDING_4	cursor-specialist-structure-output.txt	exonerated	EXONERATE	true	nit	weak	false	YES	true	nit	adequate	false	EXONERATE	true	nit	adequate	false
FINDING_5	cursor-specialist-structure-output.txt|cursor-specialist-plan-fidelity-output.txt	accepted	JUDGE_ERROR				true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_6	cursor-specialist-structure-output.txt	accepted	JUDGE_ERROR				true	YES	true	minor	adequate	false	YES	true	nit	adequate	false
FINDING_7	cursor-specialist-correctness-output.txt	exonerated	EXONERATE	partially-true	nit	weak	false	EXONERATE	partially-true	minor	weak	false	EXONERATE	partially-true		adequate	true
FINDING_8	cursor-specialist-testing-output.txt	accepted	EXONERATE	true	nit	adequate	false	YES	true	minor	adequate	false	YES	true		good	true
FINDING_9	cursor-specialist-edge-cases-output.txt|dyn-ship-resume-output.txt|dyn-route-contract-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
