finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness-output.txt|codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|codex-specialist-testing-output.txt|codex-generalist-output.txt|dyn-dyn-calibration-replay-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_2	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|codex-specialist-testing-output.txt|dyn-dyn-calibration-replay-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_3	codex-specialist-correctness-output.txt	accepted	NO	true	minor	good	false	cursor-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_4	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|dyn-dyn-calibration-replay-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_5	cursor-specialist-edge-cases-output.txt|codex-generalist-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	adequate	false	codex-pragmatism	in_scope
FINDING_6	codex-specialist-edge-cases-output.txt	accepted	YES	true	major	good	false	cursor-validity	NO	true	minor	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_7	cursor-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	good	false	codex-plan-fidelity	NO	false-positive	uncertain	adequate	false	codex-pragmatism	in_scope
FINDING_8	cursor-specialist-testing-output.txt	rejected	NO	true	minor	adequate	false	cursor-validity	NO	true	minor	adequate	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	in_scope
FINDING_9	codex-specialist-testing-output.txt	accepted	NO	true	minor	good	false	cursor-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_10	codex-generalist-output.txt	accepted	YES	true	major	good	false	cursor-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_11	codex-generalist-output.txt	rejected	NO	partially-true	minor	adequate	false	cursor-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	false-positive	uncertain	adequate	false	codex-pragmatism	in_scope
FINDING_12	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	true	minor	good	false	codex-plan-fidelity	NO	true	minor	good	false	codex-pragmatism	in_scope
OOS_1	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|dyn-dyn-calibration-replay-output.txt	neutral	YES	true	minor	good	false	cursor-validity	NO	true	nit	adequate	false	codex-plan-fidelity	NO	true	nit	adequate	false	codex-pragmatism	oos
OOS_2	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	codex-plan-fidelity	NO	true	nit	adequate	false	codex-pragmatism	oos
OOS_3	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	codex-plan-fidelity	NO	true	nit	adequate	false	codex-pragmatism	oos
OOS_4	dyn-dyn-calibration-replay-output.txt	rejected	NO	partially-true	nit	weak	false	cursor-validity	NO	true	nit	adequate	false	codex-plan-fidelity	NO	true	nit	adequate	false	codex-pragmatism	oos
OOS_5	dyn-dyn-calibration-replay-output.txt	neutral	YES	partially-true	minor	adequate	false	cursor-validity	NO	true	nit	adequate	false	codex-plan-fidelity	NO	true	nit	adequate	false	codex-pragmatism	oos
