finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	cursor-specialist-correctness-output.txt	accepted	YES	true	blocker	excellent	false	cursor-validity	YES	true	blocker	excellent	false	cursor-plan-fidelity	YES	true	blocker	excellent	false	cursor-pragmatism
FINDING_2	cursor-specialist-correctness-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism
FINDING_3	cursor-specialist-correctness-output.txt	neutral	NO	partially-true	minor	adequate	true	cursor-validity	NO	partially-true	minor	adequate	true	cursor-plan-fidelity	YES	true	major	adequate	false	cursor-pragmatism
FINDING_4	cursor-specialist-correctness-output.txt	rejected	NO	true	minor	good	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
FINDING_5	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	minor	adequate	true	cursor-validity	NO	uncertain	minor	adequate	true	cursor-plan-fidelity	NO	partially-true	minor	adequate	true	cursor-pragmatism
FINDING_6	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	minor	adequate	true	cursor-validity	NO	partially-true	minor	good	false	cursor-plan-fidelity	NO	partially-true	minor	good	true	cursor-pragmatism
FINDING_7	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	nit	adequate	false	cursor-validity	NO	partially-true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	good	false	cursor-pragmatism
FINDING_8	cursor-specialist-correctness-output.txt	neutral	YES	true	major	good	false	cursor-validity	NO	true	nit	weak	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism
FINDING_9	codex-specialist-correctness-output.txt	accepted	YES	true	blocker	excellent	false	cursor-validity	YES	true	blocker	excellent	false	cursor-plan-fidelity	YES	true	blocker	excellent	false	cursor-pragmatism
FINDING_10	codex-specialist-correctness-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism
FINDING_11	codex-specialist-correctness-output.txt	neutral	NO	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	NO	true	major	good	false	cursor-pragmatism
FINDING_12	cursor-specialist-edge-cases-output.txt	accepted	YES	true	blocker	excellent	false	cursor-validity	YES	true	blocker	excellent	false	cursor-plan-fidelity	YES	true	blocker	excellent	false	cursor-pragmatism
FINDING_13	codex-specialist-edge-cases-output.txt	neutral	NO	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	NO	partially-true	major	good	true	cursor-pragmatism
FINDING_14	codex-specialist-edge-cases-output.txt	neutral	NO	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	NO	true	major	good	false	cursor-pragmatism
FINDING_15	codex-specialist-edge-cases-output.txt	accepted	YES	true	blocker	excellent	false	cursor-validity	YES	true	blocker	excellent	false	cursor-plan-fidelity	YES	true	blocker	excellent	false	cursor-pragmatism
FINDING_16	cursor-specialist-testing-output.txt	accepted	YES	true	blocker	excellent	false	cursor-validity	YES	true	blocker	excellent	false	cursor-plan-fidelity	YES	true	blocker	excellent	false	cursor-pragmatism
FINDING_17	codex-specialist-testing-output.txt	accepted	YES	true	blocker	excellent	false	cursor-validity	YES	true	blocker	excellent	false	cursor-plan-fidelity	YES	true	blocker	excellent	false	cursor-pragmatism
FINDING_18	codex-specialist-testing-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism
FINDING_19	dyn-symilar-parity-output.txt	accepted	YES	true	blocker	excellent	false	cursor-validity	YES	true	blocker	excellent	false	cursor-plan-fidelity	YES	true	blocker	excellent	false	cursor-pragmatism
FINDING_20	dyn-symilar-parity-output.txt	neutral	NO	partially-true	minor	adequate	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
FINDING_21	dyn-symilar-parity-output.txt	rejected	NO	partially-true	major	good	true	cursor-validity	NO	partially-true	minor	good	false	cursor-plan-fidelity	NO	partially-true	major	good	false	cursor-pragmatism
FINDING_22	dyn-symilar-parity-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism
FINDING_23	dyn-symilar-parity-output.txt	rejected	NO	true	nit	weak	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
FINDING_24	dyn-symilar-parity-output.txt	neutral	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	YES	true	minor	adequate	false	cursor-pragmatism
FINDING_25	dyn-symilar-parity-output.txt	rejected	NO	partially-true	nit	weak	true	cursor-validity	NO	partially-true	nit	no-fix	true	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism
FINDING_26	dyn-parallel-pairs-output.txt	rejected	NO	partially-true	major	good	true	cursor-validity	NO	partially-true	minor	good	false	cursor-plan-fidelity	NO	partially-true	major	good	false	cursor-pragmatism
FINDING_27	dyn-parallel-pairs-output.txt	rejected	NO	true	minor	adequate	false	cursor-validity	NO	partially-true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	adequate	false	cursor-pragmatism
FINDING_28	dyn-parallel-pairs-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	cursor-plan-fidelity	YES	true	major	good	false	cursor-pragmatism
FINDING_29	dyn-parallel-pairs-output.txt	accepted	YES	true	blocker	excellent	false	cursor-validity	YES	true	blocker	excellent	false	cursor-plan-fidelity	YES	true	blocker	excellent	false	cursor-pragmatism
FINDING_30	dyn-parallel-pairs-output.txt	rejected	NO	partially-true	minor	adequate	false	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism
FINDING_31	dyn-parallel-pairs-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	weak	false	cursor-pragmatism
FINDING_32	dyn-parallel-pairs-output.txt	neutral	NO	partially-true	minor	weak	true	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	YES	true	minor	adequate	false	cursor-pragmatism
FINDING_33	dyn-lint-surface-output.txt	rejected	NO	partially-true	minor	adequate	true	cursor-validity	NO	partially-true	minor	good	false	cursor-plan-fidelity	NO	partially-true	minor	good	false	cursor-pragmatism
FINDING_34	dyn-lint-surface-output.txt	rejected	NO	partially-true	major	adequate	true	cursor-validity	NO	partially-true	minor	good	false	cursor-plan-fidelity	NO	partially-true	major	adequate	true	cursor-pragmatism
