Reviewing the implementation plan and exploring referenced codebase paths.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	skills/implement/scripts/step2-implement.sh:75	Plan emits RECOVERY_PRIOR_TOOL from nonexistent TOOL_LABEL	Recovery envelope references undefined shell variable; strict mode or set -u can abort before exit 0, or emit empty RECOVERY_PRIOR_TOOL and break §2.4 commit-prefix wiring	Use existing TOOL_TAG (or emit_kv TOOL "$TOOL_TAG" and document orchestrator mapping); grep step2-implement.sh for TOOL_LABEL before landing
2	in_scope	important	risk-integration	skills/implement/scripts/step2-implement.sh:357	Consolidation list omits pre-launcher manifest-schema-invalid at corrupt resume counter	Replacing every manifest-schema-invalid emit with emit_manifest_invalid_or_recover can turn corrupt codex-resume-count.txt plus unrelated dirty tree into STATUS=claude_fallback without any implementer run	Limit emit_manifest_invalid_or_recover to post-manifest Step 5 sites (486/490/507/534/548); keep line 357 on plain emit_bailed; add harness case for corrupt counter + dirty tree → bailed not recovery
3	in_scope	important	correctness	skills/implement/scripts/test-step2-dispatch.sh:103	Test M3 fixture does not reach manifest-schema-invalid	{"schema_version":"1","status":"bailed","bail_reason":"submodule-edit-required-out-of-scope"} passes dispatcher validation and exits bailed via normal path; M3 never exercises recovery gate on implementer-declared bail	Rewrite M3 to fail structural validation while raw .status is bailed (e.g. schema_version 1 + status bailed + empty/missing bail_reason + non-empty git diff); assert REASON=manifest-schema-invalid and no RECOVERY_FROM
4	in_scope	important	correctness	skills/implement/SKILL.md:989	§2.1 KV parse list omits RECOVERY_FROM / RECOVERY_PRIOR_TOOL	Plan only extends §2.1.5; orchestrator may never bind recovery KVs before §2.4, so recovery sub-branch is dead on the prompt side	Add RECOVERY_FROM and RECOVERY_PRIOR_TOOL to the §2.1 parse list alongside STATUS/TOOL/MANIFEST; document optional absence in §2.1.5
5	in_scope	important	architecture	skills/implement/SKILL.md:942	Entry preconditions matrix still mandates plan-driven edits for all claude_fallback	Row says Run Step 2.4 (main-agent code edits per the plan) with no RECOVERY_FROM exception; conflicts with recovery sub-branch that forbids re-implementation	Split matrix row or add footnote: when RECOVERY_FROM=manifest-schema-invalid, permitted action is sanity-check + synthesized commit message only (no plan re-implementation)
6	in_scope	important	architecture	skills/implement/SKILL.md:1050-1054	§2.4 recovery sub-branch not ordered before default implement prose	Generic Implement per the materialized plan and opportunistic questions precede any recovery guard; models can start editing before reading RECOVERY_FROM	Insert recovery sub-branch immediately after §2.2 claude_fallback bullet (before opportunistic questions / Implement per plan) with explicit if RECOVERY_FROM then ... else ...
7	in_scope	important	correctness	agents/_implementer-base.md:45	Stale anchor line 65 for Self-validate insertion	Current If git commit fails is at line 45 inside How to declare completion; following line 65 places self-validate in Resume protocol, splitting manifest guidance from atomic-write/checklist flow	Anchor self-validate after template block still inside completion section (before line 45) or immediately above Manifest checklist; drop stale line 65 reference
8	in_scope	nit	architecture	skills/implement/scripts/step2-implement.md:21-43	Stdout KV contract doc not in plan	Downstream parsers and test-step2-dispatch.md readers lack normative RECOVERY_FROM / RECOVERY_PRIOR_TOOL semantics	Mirror new optional KVs in step2-implement.md stdout block and test-step2-dispatch.md header list when implementing
9	in_scope	latent	code-quality	agents/_implementer-base.md:33-48	Implementer jq self-check is weaker than dispatcher complete validation	Dispatcher requires files_touched entries be objects with string path; implementer jq only checks array non-empty — tmp can pass self-validate yet fail at step2-implement.sh:499-507	Extend implementer jq -e complete branch with (.files_touched | all(.path | type == "string")) (and optional lines_* types) aligned with dispatcher filter
10	in_scope	nit	architecture	skills/implement/references/codex-manifest-schema.md:141-150	Proposed top Edit-in-sync note duplicates existing section	File already has Edit-in-sync listing paired files; new top note risks two maintenance lists diverging	Extend existing Edit-in-sync bullet list with agents/_implementer-base.md inline template; avoid second heading
