Reading the implementation plan and exploring referenced codebase paths.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	skills/implement/scripts/step2-implement.sh:75	Plan emits RECOVERY_PRIOR_TOOL from undefined TOOL_LABEL	Recovery function copies $TOOL_LABEL; dispatcher only defines TOOL_TAG (e.g. lines 218/225/257). Shell expands empty RECOVERY_PRIOR_TOOL= and Step 2.4 commit prefix loses prior-tool attribution	Use emit_kv RECOVERY_PRIOR_TOOL "$TOOL_TAG" (or rename consistently in plan + implementation)
2	in_scope	important	correctness	skills/implement/scripts/step2-implement.sh:70-76	Recovery gate uses git diff HEAD --stat only	Verified: untracked-only work yields empty diff --stat while status --porcelain is non-empty, so Test M2-style gate blocks recovery and implementer edits are still lost (opposite of issue #2803 goal)	Gate on non-empty git status --porcelain (or combine diff --stat with ls-files --others --exclude-standard) and add harness Test M6 for untracked-only malformed complete manifest
3	in_scope	important	security	skills/implement/scripts/step2-implement.sh:552-590	Recovery exits before Step 6 post-implementer mechanical checks	claude_fallback on manifest-schema-invalid skips branch-changed, protected-path-modified, submodule-dirty, and REQUIRES_HEAD_UNCHANGED (lines 554-588). Orchestrator may commit Codex/Cursor edits that today’s dispatcher would reject (e.g. .claude-plugin/plugin.json touch or HEAD move)	Before emitting recovery envelope, run the same Step 6a–6c (+ HEAD-unchanged when REQUIRES_HEAD_UNCHANGED) checks against the working tree; on failure emit emit_bailed with the same REASON tokens instead of recovery
4	in_scope	important	architecture	skills/implement/scripts/step2-implement.sh:68-76	Recovery allowed when raw manifest status is needs_qa	Gate is only prior status != bailed plus non-empty diff. Malformed needs_qa manifest with partial edits (common resume shape) triggers claude_fallback commit and bypasses §2.3 Q/A loop	Restrict recovery to raw .status == complete (and optionally missing/empty status treated as complete-drift), or add explicit needs_qa exclusion; add Test M7 for malformed needs_qa + non-empty tree → STATUS=bailed
5	in_scope	important	architecture	skills/implement/SKILL.md:1050-1052	Recovery sub-branch not ordered before default claude_fallback implement instruction	§2.4 body at line 1052 unconditionally says Implement per the materialized plan; without an earlier RECOVERY_FROM branch orchestrator may re-implement on top of recovered Codex work	Insert recovery sub-branch (compose message, skip edits, NEVER destructive git ops) immediately before Opportunistic questions / Implement per the materialized plan; add first-match user banner when RECOVERY_FROM is set
6	in_scope	important	code-quality	agents/_implementer-base.md:45-65	Wrong anchor for Self-validate subsection	Plan cites line 65 for If git commit fails; file has that paragraph at line 45 and line 65 is needs_qa question sanitization. Mis-implementation splits manifest guidance away from exit checklist	Place Manifest JSON template + Self-validate immediately before ## Manifest checklist before exit (line 97) and extend the checklist there; drop the line-65 anchor
7	in_scope	important	correctness	agents/_implementer-base.md:32-48	Implementer jq -e self-check weaker than dispatcher complete validation	Proposed jq checks files_touched length but not all(.path string) object shape (dispatcher lines 499-507). Implementer can pass self-validation yet still hit manifest-schema-invalid without recovery if schema_version is valid	Align the bash jq block with the dispatcher’s complete-branch filter (or document that self-check is intentionally minimal and recovery is the backstop)
8	in_scope	important	risk-integration	skills/implement/scripts/step2-implement.md:21-44	Stdout contract omits RECOVERY_FROM / RECOVERY_PRIOR_TOOL	New KVs are only planned in SKILL.md §2.1.5; step2-implement.md Edit-in-sync list and KV grammar do not mention them, inviting drift vs parsers and Test M1–M5	Add RECOVERY_FROM and RECOVERY_PRIOR_TOOL to the stdout contract (optional, only on recovery claude_fallback) and mirror in skills/implement/scripts/test-step2-dispatch.md
9	in_scope	nit	architecture	skills/implement/references/codex-manifest-schema.md:141-150	Duplicate Edit-in-sync guidance	Schema already has ## Edit-in-sync listing downstream files; plan adds a second near-top note and lists generated agents/*.md but not agents/_implementer-base.md (actual source via generators)	Extend the existing Edit-in-sync bullet list to cite agents/_implementer-base.md inline template; avoid a second competing section unless it replaces the old one
10	in_scope	latent	architecture	skills/implement/SKILL.md:942-943	Step 2 preconditions matrix treats all claude_fallback rows alike	Recovery claude_fallback forbids re-implement and skips manifest-driven downstream steps; matrix still permits generic Step 2.4 code edits with no additional forbidden actions	Add matrix footnote or sub-row: claude_fallback + RECOVERY_FROM → commit-only sub-branch (no plan re-implementation)
11	out_of_scope	latent	architecture	skills/implement/references/codex-manifest-schema.md:141-150	Digest not in planned file list	Existing Edit-in-sync requires codex-manifest-schema.digest.md sync; plan’s new note does not mention digest updates	[OUT_OF_SCOPE] File issue or follow-up to update digest required-keys table when inline template changes
12	out_of_scope	nit	architecture	plan.txt:138-140	Deferred periodic schema echo in IMPLEMENT_TMPDIR	User Round 1 deferred #4; long runs may still lose schema fidelity before write despite inline template	[OUT_OF_SCOPE] Revisit $IMPLEMENT_TMPDIR/schema-echo.json cat-before-exit pattern if post-land false-positive recovery rate stays high
