Reading the plan and validating it against the codebase and stated requirements.
Checking whether recovery should exclude `needs_qa` and whether the plan's gate logic covers the `needs_qa` + partial-tree case:
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	skills/implement/scripts/step2-implement.sh:485-548	Recovery gate only excludes manifest status=bailed, not needs_qa	A needs_qa cycle with partial uncommitted work plus manifest-schema-invalid (e.g. missing schema_version or failed needs_qa.questions at lines 485-486 or 534) can emit claude_fallback recovery and commit partial work instead of entering the Q/A loop	Restrict recovery to raw manifest .status == complete (the larch1 failure mode); add Test M6: non-empty tree, status=needs_qa, schema-invalid → STATUS=bailed with no RECOVERY_FROM
2	in_scope	important	correctness	skills/implement/SKILL.md:1081-1132	Recovery sub-branch jumps to Step 4 without Step 3 relevant checks	Normal claude_fallback runs checks at Step 3 before commit (line 1081); recovery commits Codex/Cursor edits with no run-relevant-checks-captured.sh pass	Mandate Step 3 (same helper as line 1108) before Step 4 in the recovery sub-branch; document in Failure modes
3	in_scope	important	architecture	skills/implement/SKILL.md:942-943	Step 2 preconditions matrix requires full §2.4 implementation for every claude_fallback	Recovery must skip opportunistic questions and main-agent re-implementation; matrix row still permits only Run Step 2.4 ... code edits per the plan	Add a matrix footnote or sub-row: when RECOVERY_FROM=manifest-schema-invalid, permitted actions are sanity-check, compose commit message, Step 3, Step 4 commit only — forbid plan re-implementation
4	in_scope	important	architecture	skills/implement/SKILL.md:1050-1052	§2.4 still unconditionally instructs Implement per the materialized plan	An orchestrator following §2.4 after recovery will re-edit the tree or conflict with the recovery NEVER rule	Branch §2.4 at entry: if RECOVERY_FROM is set, skip lines 1050-1052 and run only the recovery sub-branch steps
5	in_scope	important	integration	skills/implement/SKILL.md:989	§2.1 KV parse list omits RECOVERY_FROM and RECOVERY_PRIOR_TOOL	Plan only extends §2.1.5; orchestrator may never bind recovery KVs for Step 2.4 or commit-message prefix	Add RECOVERY_FROM and RECOVERY_PRIOR_TOOL to the §2.1 parse list alongside STATUS and ORCHESTRATOR_EDIT_AUTHORITY
6	in_scope	important	integration	skills/implement/scripts/step2-implement.md:21-44	Stdout contract documents no RECOVERY_FROM or RECOVERY_PRIOR_TOOL	Dispatcher contract drift; harness/docs reviewers miss new envelope fields	Mirror new KVs in the Stdout contract block and Edit-in-sync list in step2-implement.md
7	in_scope	important	code-quality	plan.txt:19-51	Contradictory insertion anchors for _implementer-base.md subsections	Template placed between §36-97 while self-validate must sit before If git commit fails (line 45 in current file; plan cites line 65) risks wrong section placement	Pin order: Manifest JSON template + Self-validate immediately after atomic-write bullet in How to declare completion (~43-45), then extend Manifest checklist; drop conflicting line-65 anchor
8	in_scope	latent	correctness	skills/implement/references/codex-manifest-schema.md:141-150	Bottom Edit-in-sync list omits agents/_implementer-base.md	Only a new top note is planned; canonical sync list still points only at generated codex/cursor agents	Add agents/_implementer-base.md to the existing Edit-in-sync bullet list
9	in_scope	latent	correctness	agents/_implementer-base.md:32-48	Implementer jq self-check omits files_touched object shape validation	Dispatcher complete jq requires .path per entry (step2-implement.sh:500-501); implementer can pass self-check yet fail dispatcher	Align the complete-branch jq block with dispatcher filters or document intentional subset
10	in_scope	latent	correctness	skills/implement/scripts/test-step2-dispatch.md	Harness contract doc not updated for Tests M1-M5	Offline contract doc drifts from test-step2-dispatch.sh	Add M1-M5 descriptions to test-step2-dispatch.md mirroring Tests 11a/11b style
11	in_scope	nit	correctness	skills/implement/SKILL.md:1044-1048	No operator-visible recovery banner in Step 2 print list	Recovery indistinguishable from Cursor/Codex-unavailable claude_fallback	Add a first-match bullet when RECOVERY_FROM=manifest-schema-invalid with prior tool name
12	out_of_scope	latent	correctness	skills/implement/SKILL.md:1139-1140	Recovery commit message composed from plan.txt bypasses dispatcher redact-secrets.sh on manifest fields	Less exposure than manifest.commit_message but plan title/approach could carry secrets into git history	[OUT_OF_SCOPE] Pipe composed recovery subject/body through redact-secrets.sh before commit-implementation.sh or document operator review requirement

**1.** Recovery gate (`prior status != bailed` only) does not exclude `needs_qa`. Partial work on a Q/A cycle plus `manifest-schema-invalid` at lines 485–486 or 534 can false-positive into `claude_fallback` and commit instead of §2.3.

**2.** Recovery “proceed to Step 4” skips Step 3 `run-relevant-checks-captured.sh`, unlike normal `claude_fallback` (SKILL.md ~1081).

**3–4.** Matrix row 942 and §2.4:1050–1052 still require full plan implementation; recovery must skip that path explicitly.

**5–6.** Parse list (989) and `step2-implement.md` stdout contract omit `RECOVERY_FROM` / `RECOVERY_PRIOR_TOOL`.

**7.** Plan anchors for `_implementer-base.md` sections conflict (between §36–97 vs before line 65 vs actual line 45).

**8–12.** Edit-in-sync list, weaker jq self-check, harness doc, operator banner, redaction — latent/nit/out-of-scope as tagged.
