finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_2	Codex-Arch	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_3	Codex-Arch	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_4	Codex-Arch, Codex-Pragmatic	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_5	Codex-Arch	exonerated	YES	true		good	true	Claude	EXONERATE	true	minor	adequate	false	Codex	EXONERATE	true	nit	good	false	Cursor
FINDING_6	Cursor-Edge	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_7	Codex-Edge	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_8	Codex-Edge, Codex-Pragmatic	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_9	Codex-Edge	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_10	Codex-Edge	exonerated	YES	true		good	true	Claude	EXONERATE	true	minor	adequate	false	Codex	EXONERATE	true	nit	good	false	Cursor
FINDING_11	Codex-Edge	accepted	YES	true		adequate	true	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_12	Cursor-Innovation, Cursor-Pragmatic	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_13	Codex-Innovation	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_14	Codex-Innovation	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_15	Codex-Innovation	accepted	YES	true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_16	Codex-Innovation	exonerated	YES	true		good	true	Claude	EXONERATE	true	minor	adequate	false	Codex	EXONERATE	true	nit	good	false	Cursor
FINDING_17	Cursor-Pragmatic	accepted	YES	true		good	true	Claude	YES	true	major	adequate	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_18	Cursor-Pragmatic	accepted	YES	true		adequate	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_19	Cursor-Pragmatic	neutral	YES	partially-true	nit	adequate	false	Claude	NO	false-positive	nit	weak	false	Codex	EXONERATE	partially-true	nit	adequate	false	Cursor
