Reading the plan and exploring referenced codebase paths for edge-case and failure-mode review.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	scripts/render-run-summary.sh:130-164	skills/implement/scripts/write-final-report.sh (planned Stage 1)	Plan assumes omitting token CLI flags makes render-run-summary emit `- **Cost**: N/A` via an empty `cost_lines` path	Renderer always calls `token-cost.sh` with default zero aggregate flags; `token-cost.sh` returns `TOTAL_COST=0.00`, so Stage 1 can still show a misleading `$0.00` / zero-token breakdown instead of `N/A` when only tokens are missing	Stage 1 must not rely on omission alone: add an explicit cost-unavailable signal to `render-run-summary.sh` (and use it from Stage 1 + implement token-missing primary path), or have Stage 1 jump straight to Stage 2 self-composed `N/A` when the failure mode is token-related
1	in_scope	important	correctness	skills/design/scripts/render-final-summary.sh:305-311	skills/design/scripts/render-final-summary.sh (planned §4)	Plan says post-phase uses an existing "chat-print loop" reading `final-summary.md`, but post-phase printing is only via `render-run-summary.sh --print-stdout` inside `invoke_render`	Renderer-fail fallback writes the file but never prints; `test-render-final-summary.sh:39` (`cmp` stdout vs file) and cancellation/happy-path chat output both break	Add an explicit post-fallback print path (mirror `write-final-report.sh:415-422` / quiet FD 3) whenever `invoke_render` used fallback and `print_stdout=true`; keep stdout byte-identical to `final-summary.md`
1	in_scope	important	failure-mode	skills/design/scripts/render-final-summary.sh:3	skills/design/scripts/render-final-summary.sh:298-302	`invoke_render` calls `render-run-summary.sh` under `set -euo pipefail` with no exit capture today; plan adds fallback but does not require disabling errexit around the call	Nonzero renderer exit aborts the whole script before fallback, chat print, or upsert — worse than implement's stub (ROOT CAUSE B)	Wrap the renderer invocation in `set +e` / `set -e`, capture `$?` and stderr to `rfs-render-run-summary.log`, then branch to self-composed fallback on nonzero exit or empty output file
1	in_scope	important	correctness	skills/implement/scripts/write-final-report.sh:178-185	skills/implement/scripts/test-write-final-report.sh (planned case 2)	Primary implement path always passes explicit zero token flags when `TOKEN_JSON` is absent; no FINDING_12-style omission in `write-final-report.sh`	New regression expecting stdout `- **Cost**: N/A` on token-missing likely fails with `$0.00` unless primary path is fixed alongside fallback	When no usable token JSON, omit all `--*-tokens` / bucket flags on the primary `run_body_render` call (same rule as design `COST_ARGS=()`), or assert `N/A` only after adding renderer cost-unavailable support
1	in_scope	important	correctness	skills/implement/scripts/write-final-report.sh:361-367	skills/implement/scripts/write-final-report.sh (planned Stage 2)	Stage 2 self-composed body plan says use `N/A` for all fields including Outcome metadata	`render-run-summary.sh:216-218` omits `- **Outcome**:` for happy paths (`merged`, `approved`, etc.); a blanket Outcome line changes tracking-comment shape and can fail structure-sensitive consumers	Mirror renderer Outcome rules in Stage 2 (only emit Outcome for `bailed*`, `stalled`, `cancelled-*`, `failed-*`); keep other collected fields (mode, issue, plan line) when known instead of blanket `N/A`
1	in_scope	latent	failure-mode	skills/implement/scripts/write-final-report.sh:282-318	skills/implement/scripts/write-final-report.sh (planned Stage 1)	Stage 1 re-invoke is not specified to drop `--note-lines-file` while primary `run_body_render` passes `notes_tmp`	Primary failure caused by bad/missing note file can make Stage 1 fail unnecessarily and force Stage 2 full degradation	Stage 1 re-invoke should omit `--note-lines-file` (notes are explicitly accepted loss in edge cases); only Stage 0 primary keeps notes
1	in_scope	latent	architecture	skills/design/scripts/render-final-summary.sh:65-77	skills/design/scripts/render-final-summary.sh (planned degraded path)	Design fallback is self-composed only; implement gets Stage 1 renderer retry with live `PLAN_LINE`, `DURATION`, `ISSUE_URL`, etc.	Transient renderer failure on design drops real gathered metadata to all-`N/A` while implement Stage 1 may succeed with partial truth	Optionally add design Stage 1 retry (no token flags, same metadata argv) before self-composed fallback, matching implement semantics
1	in_scope	nit	correctness	skills/implement/scripts/test-write-final-report.md:103	skills/design/scripts/test-render-final-summary.md:117	Plan lists three new harness cases per script but sibling `.md` stubs say "two new test cases"	Doc drift causes incomplete test documentation during implementation	Update both `.md` siblings to list all three cases (renderer-fail, token-missing, per-agent happy path)
1	out_of_scope	latent	failure-mode	skills/implement/SKILL.md:1750	skills/implement/SKILL.md:1750	Step 17 uses `write-final-report.sh ... || true`	Script envelope `STATUS=failed` or early exit before body render is swallowed; operator may reach Step 18 with no structured block (ROOT CAUSE D residual)	[OUT_OF_SCOPE] Consider parsing KV `STATUS` after Step 17 or removing `|| true` for hard failures; out of band for #2837 script fallback scope
1	out_of_scope	latent	correctness	skills/implement/scripts/write-final-report.sh:178-185	scripts/render-run-summary.sh:130-164	Corrupt `token-report.json` with present file still passes zeros and yields `$0.00`	Plan explicitly keeps this behavior; mis-accounting still looks like a free run	[OUT_OF_SCOPE] Richer corrupt-json detection in `token-report.sh` / renderer; track separately from #2837
