finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch	neutral	NO	partially-true	major	excellent	false	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_2	Cursor-Arch	neutral	YES	true	minor	good	false	Claude	NO	true	minor	good	false	Codex	NO	true	minor	good	false	Cursor	important
FINDING_3	Codex-Arch	rejected	NO	false-positive	major	excellent	false	Claude	NO	false-positive	nit	good	false	Codex	NO	false-positive	minor	adequate	false	Cursor	important
FINDING_4	Cursor-Innovation	neutral	YES	true	minor	good	false	Claude	NO	true	minor	good	false	Codex	NO	true	minor	good	false	Cursor	important
FINDING_5	Codex-Innovation	rejected	NO	false-positive	major	excellent	false	Claude	NO	false-positive	nit	good	false	Codex	NO	false-positive	minor	adequate	false	Cursor	important
FINDING_6	Cursor-Pragmatic	neutral	YES	true	minor	adequate	false	Claude	NO	true	minor	good	false	Codex	NO	true	minor	good	false	Cursor	important
FINDING_7	Cursor-Pragmatic	rejected	NO	false-positive	blocker	excellent	false	Claude	NO	false-positive	nit	good	false	Codex	NO	false-positive	blocker	excellent	false	Cursor	blocking
FINDING_8	Cursor-Pragmatic	rejected	NO	false-positive	minor	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	partially-true	major	adequate	false	Cursor	important
FINDING_9	Codex-Pragmatic	rejected	NO	false-positive	major	adequate	false	Claude	NO	false-positive	nit	good	false	Codex	NO	false-positive	minor	adequate	false	Cursor	important
FINDING_10	Codex-Pragmatic	rejected	NO	false-positive	major	good	false	Claude	NO	false-positive	nit	good	false	Codex	NO	false-positive	major	excellent	false	Cursor	important
FINDING_11	Cursor-Requirements	rejected	NO	partially-true	major	excellent	false	Claude	NO	false-positive	nit	adequate	false	Codex	NO	partially-true	major	good	false	Cursor	important
FINDING_12	Codex-Requirements	rejected	NO	partially-true	major	adequate	false	Claude	NO	false-positive	nit	adequate	false	Codex	NO	partially-true	major	good	false	Cursor	important
