Reviewing the plan and relevant linter code for regex fidelity and fixture coverage.
Checking how the linter handles multi-line anchors and whether the plan's 3-line window conflicts.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	plan.txt:49-52	Helper bullets omit optional `local` before `<IDENT>=$!` while Edge cases require it	Shell functions using `local FAMILY_B_PID=$!` fail the new invariant despite being idiomatic and called out in plan.txt:144-145	Add `(local[[:space:]]+)?` to the PID-capture pattern in the helper spec and in `fence_has_family_b_pid_capture_and_wait`; add a harness fixture with `local VAR=$!`
2	in_scope	important	correctness	plan.txt:50	sk_line PID-capture window is 3 non-blank lines after the anchor line	Multi-line Family B writers (e.g. skills/implement/SKILL.md:1452-1467 ship-pr block) place `&` and `$!` many lines after the first anchor line; literal implementation rejects every swept SKILL fence	Measure from the end of the merged writer invocation (line with trailing `&`) or scan the full fence after the anchor, consistent with existing fence-wide `joined_all` checks at scripts/lint-foreground-markers.sh:557-568
3	in_scope	important	correctness	plan.txt:150-152	Failure Mode 1 mitigation says warn-not-fail on missing `&` but Signal says pre-commit violation	scripts/lint-foreground-markers.sh has only `VIOLATIONS` + `exit 1` (lines 707-710); a warn path would not block CI and would allow the degraded synchronous-streaming case the plan calls out	Pick one policy: fail closed on missing `&` (recommended) and document in helper spec, or add a real non-blocking warn channel (not `VIOLATIONS`) and do not claim pre-commit violation in Failure Mode 1 Signal
4	in_scope	important	correctness	plan.txt:49-52 vs plan.txt:152-154	Helper bullet 3 diagnostics omit identifier-mismatch; only Failure Mode 2 describes `wait identifier does not match captured PID variable`	Typo `wait "$WRONG_VAR"` passes missing-piece checks if any `wait` exists; orphan bug returns silently per plan.txt:152-154	Add mismatch diagnostic to helper bullet 3 and a fifth harness case asserting stderr contains that substring
5	in_scope	important	correctness	plan.txt:60-66	Four proposed fixtures omit local capture, cross-fence wait, and identifier-mismatch cases	Regressions in `local`, 10-line cross-fence wait, or IDENT binding slip through `make test-lint-foreground-markers`	Add fixtures: (5) `local VAR=$!` pass, (6) wait in next fenced bash within 10 Markdown lines pass, (7) `VAR=$!` + `wait "$OTHER"` fail with mismatch diagnostic
6	in_scope	important	integration	plan.txt:54 vs scripts/lint-foreground-markers.sh:702-705	Plan says wire helper into shell-file scan; repo shell path only runs `scan_shell_file_for_unset_before_nested_child`	Committed `.sh` files that background top-level Family B writers would not get PID/wait enforcement despite plan prose	Specify implementation: e.g. factor per-line scan shared by fences and shell files, or extend shell scan with the same helper on non-skipped paths
7	in_scope	important	architecture	plan.txt:51	Bullet 2 allows wait in the next fenced bash within 10 lines but gives no cross-fence state design	Implementer may only grep single-fence `joined_all` (like current monitor check at :561-562) while BASH_AUTHORING.md:69 allows cross-fence monitor; wait-in-next-fence would never lint	Mirror `post_fence_bg_monitor_remaining` (scripts/lint-foreground-markers.sh:646-680): carry captured IDENT and require wait before the 10-line window expires; document in helper spec
8	in_scope	important	correctness	plan.txt:51 vs plan.txt:21	Wait forms list three quoting variants but not the canonical `2>/dev/null || true` suffix	Fences matching plan Approach (line 21) fail if regex requires bare `wait "$IDENT>"` only	Allow optional `[[:space:]]+2>/dev/null[[:space:]]+||[[:space:]]+true` after each accepted wait form
9	in_scope	latent	integration	plan.txt:42-137 (Files list)	`scripts/lint-foreground-markers.md` not listed; contract still describes foreground-only banners	Post-PR contract doc diverges from behavior; contributors misread exit semantics	UPDATE `scripts/lint-foreground-markers.md` with PID capture, wait, cross-fence, and diagnostic names (AGENTS.md canonical sync)
10	in_scope	nit	correctness	plan.txt:49-52 vs plan.txt:150-151	`&`-present check appears only in Failure Mode 1, not in helper bullets 1-3	Implementer may ship PID+wait lint without ever checking shell `&`	Move `&`-present rule into helper spec (fail or explicit warn per revised FM1 policy) or drop FM1 Signal claim

**1. [correctness]** `plan.txt:49-52` vs `plan.txt:144-145` — Helper spec defines PID capture as `<IDENT>=$!` only; Edge cases require optional leading `local `. Shell-script captures like `local FAMILY_B_PID=$!` (see `scripts/test-breadcrumb-monitor.sh:118`) would fail unless the regex is updated and tested.

**2. [correctness]** `plan.txt:50` — The “within 3 non-blank in-fence lines below” rule is incompatible with multi-line writer invocations. Current `skills/implement/SKILL.md:1452-1467` spans ~16 physical lines before `breadcrumb-monitor.sh`; after the sweep, `&` and `$!` will sit far below the first anchor line (`merge_start_phy` at `scripts/lint-foreground-markers.sh:529-555`). Existing paired-PID checks already use fence-wide `joined_all` (`:557-568`); the new rule should follow that model or anchor off the writer’s closing `&` line.

**3. [correctness / integration]** `plan.txt:150-152` vs `scripts/lint-foreground-markers.sh:707-710` — Failure Mode 1 mitigation says “at minimum warn (not fail) on missing `&`” while Signal promises a pre-commit violation. The linter has no warn-only path—every issue increments `VIOLATIONS` and exits `1`. A warn-only `&` check would not block CI and would not prevent the degraded streaming scenario described in `plan.txt:149-151`.

**4. [correctness]** `plan.txt:49-52` vs `plan.txt:152-154` — Failure Mode 2 requires `wait identifier does not match captured PID variable`, but helper bullet 3 only lists “missing PID capture” and “missing wait” diagnostics. Without an explicit mismatch rule in the helper spec, FM2 mitigation is not contractually bound.

**5. [correctness]** `plan.txt:60-66` — Proposed fixtures cover positive full pattern and three negatives (missing wait, missing PID, wait before monitor) but omit: (a) `local VAR=$!`, (b) wait in a following fenced `bash` block within the 10-line window (`plan.txt:51`), (c) capture/wait identifier mismatch (FM2). These gaps leave the regex contract unverified where the plan claims completeness.

**6. [integration / architecture]** `plan.txt:54` vs `scripts/lint-foreground-markers.sh:702-705` — “Wire into … shell scripts” is underspecified. Shell scanning today only enforces `unset LARCH_PAIRED_PID_FILE` before nested children (`scan_shell_file_for_unset_before_nested_child`); the per-anchor loop at `:496` runs only inside `scan_fence_buffer_for_anchors`. The plan needs an explicit shell-file code path.

**7. [architecture]** `plan.txt:51` — Cross-fence wait allowance references BASH_AUTHORING.md’s 10-line window (`BASH_AUTHORING.md:69`) but does not specify how captured `<IDENT>` propagates across fence boundaries (unlike the existing post-fence contradiction counter at `scripts/lint-foreground-markers.sh:653-660`). Without a stated state machine, implementers may only scan single-fence `joined_all` and miss legal split-fence patterns.

**8. [correctness]** `plan.txt:51` vs `plan.txt:21` — Accepted wait forms omit the canonical `2>/dev/null || true` suffix shown in Approach. Swept fences will use that suffix; the matcher should allow it on all three quoting variants.

**9. [integration]** `plan.txt:42-137` — Files to modify omit `scripts/lint-foreground-markers.md`, which still documents foreground-only banners (`scripts/lint-foreground-markers.md:7-11`) and exit semantics (`:51`). AGENTS.md requires keeping contract siblings in sync.

**10. [correctness]** `plan.txt:49-52` vs `plan.txt:150-151` — The `&`-present-before-pid-capture check is only in Failure Mode 1 narrative, not in helper bullets 1-3, creating ambiguity about whether it ships at all and whether it fails or warns.

[OUT_OF_SCOPE] `scripts/lint-foreground-markers.sh:561-562` — BASH_AUTHORING.md allows `breadcrumb-monitor.sh` in the next fence within ten lines (`BASH_AUTHORING.md:69`), but the linter only checks single-fence `joined_all` for the monitor half. Pre-existing; worth a follow-up if cross-fence monitor enforcement is desired independently of this PR.
