Reading the implementation plan and exploring the cited codebase paths.
1. **[correctness]** `skills/shared/external-reviewers.md` and `skills/shared/dialectic-protocol.md` are in `lint-foreground-markers.sh`'s `list_md_files()` scope but omitted from the plan's documentation sweep. After the new invariant lands, those fences will fail CI until updated with `&`, PID capture, and `wait`.

2. **[correctness]** The plan's "within 3 non-blank lines below the anchor" rule conflicts with real fences: `skills/implement/SKILL.md` (~1452–1467) and similar blocks anchor on the first `ship-pr.sh` continuation line while `&` and `$!` must sit on the closing line many lines later. A naive linter will false-positive every multi-line Family B invocation unless the window is measured from the terminator line (the line bearing `&`).

3. **[architecture]** `skills/design/references/plan-review.md` (~157–162) uses `_plan_voter_dispatch=$(…dispatch-plan-voters.sh…)` plus `eval`, not `writer &` + `VAR=$!`. Mandating only `<IDENT>=$!` after the anchor breaks this pattern and loses captured stdout unless the plan also specifies background launch **and** stdout redirection before `eval`.

4. **[correctness]** Failure mode 1 says warn (not fail) when shell `&` is missing. Fences today rely on `# Tool JSON: run_in_background: true` without shell `&`; `$!` then does not name the real writer, so `wait` cannot fix the orphan described in the plan. Missing `&` should be a hard lint failure for top-level Family B writers, or `wait` must read the PID from `LARCH_PAIRED_PID_FILE` (already written by `larch_quiet_write_paired_pid_file` in each writer).

5. **[risk-integration]** The plan wires the new helper into "shell scripts (the existing shell-file scan path)", but `scripts/lint-foreground-markers.sh` (~702–705) only runs `scan_shell_file_for_unset_before_nested_child` on `.sh` files—no per-anchor Family B pair scan exists today. Either add a real shell-script scan or drop that claim to avoid a documentation-only enforcement gap.

6. **[correctness]** Cross-fence `wait` in the "10-line look-ahead window already used by BASH_AUTHORING.md §4" is not implemented: `scan_markdown_file` (~678–680) uses that window only for contradictory post-fence prose, not for locating `wait` in a following fence. The helper must extend `scan_markdown_file` (or require `wait` in the same fence) explicitly.

7. **[risk-integration]** `scripts/test-lint-foreground-markers.sh` has ~32 `assert_case_clean` fixtures (e.g. case 1 at ~106–123) that lack `&`/`wait`; the plan only adds four new cases. Implementing the linter without rewriting existing positives will break `make test-lint-foreground-markers` immediately.

8. **[risk-integration]** Contract siblings called out in `scripts/lint-foreground-markers.md` (~57) are not in the plan: `scripts/lint-foreground-markers.md`, `docs/linting.md` (new `make test-background-monitor-wait` row), and `agent-lint.toml` exclusions for the new harness. Skipping them risks drift between prose, Makefile, and agent-lint.

9. **[latent]** Canonical `wait "$<pid_var>" 2>/dev/null || true` (plan approach + `scripts/test-breadcrumb-monitor.sh`) discards the writer's non-zero exit after the monitor returns on an early done sentinel—exactly the failure class being fixed for lifecycle, but exit status can still be wrong for downstream state-machine parsing.

10. **[OUT_OF_SCOPE]** `skills/implement/SKILL.md` NEVER #16 and `AGENTS.md` Family B guidance still describe only `run_in_background` + monitor, not post-monitor `wait`; operators reading those before `BASH_AUTHORING.md` §4 may omit `wait` even after the fence sweep.

schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	skills/shared/external-reviewers.md:46-68	Lint-scoped shared docs omitted from sweep	New PID/wait lint fails CI on files the plan never lists	Add skills/shared/external-reviewers.md and skills/shared/dialectic-protocol.md to the sweep; grep skills/shared/*.md for all five writer basenames
2	in_scope	important	correctness	plan.txt:50-51	3-line PID window anchored at first invocation line	Multi-line ship-pr/collect fences false-positive or force illegal one-liners	Measure PID capture from the closing line with trailing &; allow the whole continued invocation as one anchor unit
3	in_scope	important	architecture	skills/design/references/plan-review.md:157-162	Canonical & + $! conflicts with $() + eval voter dispatch	Mandated pattern breaks KV capture or blocks merge of plan-review fence	Document exception or rewrite to background dispatch with stdout to a file, then monitor, wait, then eval "$(cat …)"
4	in_scope	important	correctness	plan.txt:149-152	Missing shell & is warn-only only	run_in_background without & leaves wrong $!; wait does not reap the real writer	Fail lint when top-level writer lacks & unless wait reads LARCH_PAIRED_PID_FILE; document paired-file wait as primary contract
5	in_scope	important	risk-integration	scripts/lint-foreground-markers.sh:702-705	Claimed shell-script scan path does not exist	Production .sh callers of Family B pairs (if added later) would not be linted	Implement scan_shell_file_family_b_wait or limit plan prose to Markdown fences only
6	in_scope	important	correctness	scripts/lint-foreground-markers.sh:678-680	Cross-fence wait assumes existing 10-line monitor look-ahead	wait in a following bash fence is never checked; partial fence splits pass lint	Extend scan_markdown_file to join the next fenced bash block for wait validation, or require wait in the same fence as monitor
7	in_scope	important	risk-integration	scripts/test-lint-foreground-markers.sh:106-123	Only four new harness cases planned	~32 assert_case_clean fixtures fail once linter enforces wait	Add plan step to update all existing positive fixtures with & PID capture monitor and wait, not only four new negatives
8	in_scope	important	risk-integration	scripts/lint-foreground-markers.md:57	docs/linting.md and agent-lint.toml not listed	Makefile target and harness exist but contract docs and exclusions drift	Add UPDATED entries for lint-foreground-markers.md docs/linting.md agent-lint.toml per repo edit-in-sync rules
9	in_scope	latent	correctness	plan.txt:139-139	wait 2>/dev/null || true in canonical shape	Writer fails after early sentinel; wrapper continues as if success	Document that exit code must come from LARCH_STATUS_FILE; or capture wait status without discarding non-zero
10	out_of_scope	latent	architecture	skills/implement/SKILL.md:66	NEVER #16 not updated for wait contract	Operators follow NEVER #16 and omit wait after monitor	[OUT_OF_SCOPE] Extend NEVER #16 / AGENTS.md Family B bullet to require post-monitor wait in a follow-up docs pass
