finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Innovation	neutral	YES	true	major	good	false	Claude	NO	false-positive	nit	adequate	false	Codex	NO	partially-true	minor	good	false	Cursor	important
FINDING_2	Cursor-Innovation, Cursor-dyn-step5b-parity	accepted	YES	true	major	good	false	Claude	NO	true	minor	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_3	Cursor-Innovation	rejected	NO	true	minor	good	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	true	nit	good	false	Cursor	latent
FINDING_4	Codex-Pragmatic	neutral	NO	partially-true		adequate	true	Claude	YES	true	major	good	false	Codex	NO	false-positive	minor	adequate	false	Cursor	important
FINDING_5	Cursor-dyn-migration-contract	rejected	NO	true	minor	adequate	false	Claude	NO	true	nit	good	false	Codex	NO	true	nit	good	false	Cursor	important
FINDING_6	Codex-dyn-step5b-parity	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_7	Codex-dyn-migration-contract	neutral	NO	partially-true	major	adequate	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important
OOS_1	Cursor-Innovation	rejected	NO	false-positive	nit	adequate	false	Claude	NO	true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	nit
OOS_2	Cursor-Innovation	rejected	NO	true	nit	adequate	false	Claude	NO	true	nit	adequate	false	Codex	NO	true	nit	weak	false	Cursor	nit
OOS_3	Cursor-Pragmatic	rejected	NO	false-positive		adequate	true	Claude	NO	true	nit	adequate	false	Codex	NO	true		adequate	true	Cursor	latent
OOS_4	Cursor-Pragmatic	neutral	YES	true	nit	good	false	Claude	NO	true	nit	good	false	Codex	NO	true	nit	good	false	Cursor	nit
OOS_5	Codex-Pragmatic	accepted	YES	true		adequate	true	Claude	YES	true	major	adequate	false	Codex	NO	true		adequate	true	Cursor	latent
