finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-security-output.txt	rejected	NO	false-positive		adequate	true	NO	partially-true	minor	adequate	false	NO	true	minor	adequate	false
FINDING_10	cursor-specialist-edge-cases-output.txt	accepted	YES	true		adequate	true	YES	true	major	good	false	NO	true	minor	adequate	false
FINDING_11	cursor-specialist-testing-output.txt	accepted	YES	true		adequate	true	YES	true	major	good	false	YES	true	major	good	false
FINDING_12	codex-specialist-testing-output.txt	accepted	NO	uncertain		adequate	true	YES	true	major	good	false	YES	true	blocker	good	false
FINDING_2	cursor-specialist-security-output.txt	rejected	NO	false-positive		adequate	true	NO	true	minor	good	false	NO	true	minor	adequate	false
FINDING_3	cursor-specialist-security-output.txt	accepted	YES	true	nit	adequate	false	YES	true	nit	good	false	YES	true	nit	good	false
FINDING_4	cursor-specialist-security-output.txt	accepted	YES	true		adequate	true	YES	partially-true	minor	adequate	false	YES	true	major	good	false
FINDING_5	cursor-specialist-security-output.txt	accepted	YES	partially-true		adequate	true	YES	true	minor	good	false	NO	partially-true	nit	adequate	true
FINDING_6	codex-specialist-security-output.txt	accepted	YES	true		adequate	true	YES	true	major	good	false	NO	true	minor	adequate	false
FINDING_7	cursor-specialist-correctness-output.txt	accepted	YES	partially-true		adequate	true	NO	true	nit	adequate	false	YES	true	minor	good	false
FINDING_8	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true		adequate	true	YES	true	major	good	false	YES	true	major	good	false
FINDING_9	codex-specialist-correctness-output.txt	accepted	NO	false-positive		adequate	true	YES	true	minor	good	false	YES	true	minor	good	false
