finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Innovation, Cursor-Requirements	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_2	Cursor-Arch, Cursor-Innovation	neutral	NO	partially-true	minor	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_3	Cursor-Innovation	accepted	YES	true	major	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_4	Cursor-Innovation	accepted	YES	true	minor	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_5	Cursor-Innovation	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_6	Cursor-Innovation	accepted	YES	true	minor	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_7	Cursor-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_8	Cursor-Requirements	rejected	NO	true		adequate	true	Claude	NO	false-positive	minor	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent
FINDING_9	Codex-Generic	accepted	YES	true	major	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_10	Cursor-Requirements	accepted	YES	true	minor	adequate	false	Claude	NO	false-positive	minor	good	false	Codex	YES	true	major	good	false	Cursor	important
OOS_1	Cursor-Innovation	rejected	NO	true		adequate	true	Claude	NO	partially-true	minor	adequate	false	Codex	NO	partially-true	minor	adequate	false	Cursor	latent
OOS_2	Cursor-Requirements	rejected	NO	true	nit	weak	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	partially-true	nit	weak	false	Cursor	nit
