Reviewing the plan against the codebase: reading the plan file and the step2 implement/dispatch scripts.
Searching for baseline/porcelain handling, recovery-related references, and test harness patterns.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	<TMPDIR>/plan.txt:74	Post-launch delta gate lacks a set-difference algorithm	Edge case promises pre-existing dirty is excluded, but gate 3 only says compare snapshots and bail if delta is empty; a naive `[[ -n "$(git status --porcelain …)" ]]` check would false-positive recover on pre-launch dirtiness; M2/M7 do not catch that	Specify implementation: capture `git -C "$REPO_ROOT" status --porcelain --untracked-files=all` into `$TMPDIR_ARG/step2-prelaunch-porcelain.txt` on first write (Step 1), then `comm -13 <(sort pre) <(sort post)` (or equivalent) for non-empty delta; add harness case with pre-seeded dirty file + empty post-stub delta
2	in_scope	important	correctness	<TMPDIR>/plan.txt:74	Conflates HEAD baseline with porcelain baseline	Gate 3 parenthetical says use the same `step2-baseline.txt` mechanism; today `step2-baseline.txt` stores `git rev-parse HEAD` (skills/implement/scripts/step2-implement.sh:288-292), not porcelain — implementer may skip adding `step2-prelaunch-porcelain.txt`	State `step2-prelaunch-porcelain.txt` is a new first-write file parallel to `step2-baseline.txt`, not a reuse of the HEAD SHA file; cite Step 1 block lines 286-348 as the write site
3	in_scope	important	correctness	<TMPDIR>/plan.txt:75-76	Test M9 and recovery guard text use wrong bail token	Plan expects `REASON=submodule-modified`; dispatcher emits `submodule-dirty` at skills/implement/scripts/step2-implement.sh:579 and documents that token in step2-implement.md / codex-manifest-schema.md	M9 assertion and `run_post_implementer_safety_gates` comment should use `submodule-dirty` everywhere
4	in_scope	important	correctness	<TMPDIR>/plan.txt:74	Mis-cites harness Test 1 for baseline machinery	Test 1 explicitly asserts `step2-baseline.txt` is NOT written on claude_fallback (skills/implement/scripts/test-step2-dispatch.sh:91-96); pointing implementers at Test 1 for baseline seeding is misleading	Point to Step 1 first-write in step2-implement.sh and scratch-repo stubs patterned on Test 13/18 (no baseline pre-seed)
5	in_scope	important	architecture	<TMPDIR>/plan.txt:74	Prelaunch porcelain write site is ambiguous	"Top of the cursor/codex launch path" could be read as inside `run_launcher` after line 399; codex and cursor share one external path (step2-implement.sh:217-237, 382-400) — a launch-only write would miss first-invocation capture and break M2/M7/M8/M9/M10	Place the first-write capture in the shared Step 1 block (lines 286-348), immediately before Step 3 `rm` and Step 4 launch, with `if [[ ! -f "$PRELAUNCH_PORCELAIN_FILE" ]]` mirroring `step2-baseline.txt`
6	in_scope	important	risk-integration	skills/implement/scripts/test-step2-dispatch.sh:312-323	Resume-simulation tests pre-seed HEAD baseline but not porcelain	Tests 5/7/9/10/11b seed `step2-baseline.txt` without any porcelain file; new `if ! -f` logic would snapshot porcelain on a later invocation, falsifying the pre-launch snapshot for resume/reuse scenarios	M tests M2/M7/M8/M9/M10: use fresh scratch tmpdirs (Test 13 pattern) — no manual porcelain seed needed; document that any test pre-seeding `step2-baseline.txt` must also pre-seed `step2-prelaunch-porcelain.txt` with the intended pre-launch tree
7	in_scope	latent	correctness	<TMPDIR>/plan.txt:102-116	No regression test for Cursor HEAD-unchanged guard	FINDING_4 requires `run_post_implementer_safety_gates` to include `${TOOL_TAG}-modified-history` (step2-implement.sh:586-590); M8/M9/M10 cover plugin/submodule/branch only — cursor HEAD move could reach recovery undetected	Add Test M13 (cursor stub moves HEAD, malformed manifest, non-empty delta) expecting `REASON=cursor-modified-history` and no `RECOVERY_FROM`
8	in_scope	latent	risk-integration	<TMPDIR>/plan.txt:114-115	Test M9 lacks submodule harness recipe	test-step2-dispatch.md:45 still lists submodule post-checks out of scope; no existing submodule fixture in implement test scripts — M9 is underspecified relative to Test 13	Add brief M9 scaffold: nested bare repo + `git submodule add`, stub modifies submodule gitlink or path, assert `submodule-dirty`; update test-step2-dispatch.md coverage/out-of-scope bullets in the same PR
9	in_scope	nit	correctness	<TMPDIR>/plan.txt:68	Routed line numbers point at conditions not `emit_bailed` sites	Plan lists 486/490/507/548; actual `emit_bailed "manifest-schema-invalid"` calls are at 487, 491, 508, 549 (534/535 excluded per plan)	Update the consolidation list to the emit call lines (or say "replace each `emit_bailed manifest-schema-invalid` in Step 5 except 358 and 535")
10	in_scope	latent	security	skills/implement/SKILL.md:93-98	Recovery commit scope from raw porcelain not filtered	Step 2.4 says commit files-from-porcelain; if an implementer drops `manifest.json` into the repo root, porcelain delta and recovery commit could include it even though canonical manifest lives under `$TMPDIR_ARG`	Exclude `manifest.json` (and other tmpdir-only artifacts) from delta and Step 4 file list; document manifest path remains `$TMPDIR_ARG/manifest.json` only

**Assessment (M2 / M7 / M8 / M9 / M10 vs explicit `step2-prelaunch-porcelain.txt`)**

Codex and Cursor share one external-implementer path in `step2-implement.sh` (tool case at 217–237, shared Step 1 baselines at 286–348, single `run_launcher` at 382–400). There is no separate per-tool baseline writer today; only `step2-baseline.txt` (HEAD SHA) exists — not porcelain.

**M2, M7, M8, M9, M10** can run without manually seeding `step2-prelaunch-porcelain.txt` **if** the plan implements first-write capture in the shared Step 1 block (same `if [[ ! -f … ]]` pattern as `step2-baseline.txt` at 288–291), using scratch repos like Test 13/18. **M2** (empty tree): prelaunch snapshot empty, stub leaves tree empty. **M7** (untracked-only): prelaunch empty, stub adds `??` paths; delta non-empty only with set-diff, not post-only non-empty check. **M8–M10**: stub (or pre-seeded `step2-spawn-branch.txt` per Test 20) mutates plugin.json / submodule / branch after prelaunch capture.

**Gap:** tests that pre-seed `step2-baseline.txt` without porcelain (Test 5/7/9 pattern) would get a **late** porcelain snapshot on a simulated resume unless the plan adds co-seeding rules (finding 6).

**manifest.json contamination:** canonical manifest is under `$TMPDIR_ARG` (see `launch-codex-implement.sh`); `git status` on `REPO_ROOT` normally omits it. Risk is mainly a repo-root stray `manifest.json` (finding 10), not tmpdir manifest from Step 372/launcher.
