finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch, Cursor-Innovation	accepted	NO	false-positive	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_2	Codex-Arch, Codex-Innovation, Cursor-Pragmatic, Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_3	Cursor-Edge	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	minor	good	false	Cursor
FINDING_4	Cursor-Innovation	rejected	NO	partially-true		adequate	true	Claude	NO	partially-true	minor	adequate	false	Codex	NO	partially-true	minor	adequate	false	Cursor
FINDING_5	Cursor-Pragmatic, Cursor-dyn-emitter-routing-fidelity	rejected	NO	false-positive		good	true	Claude	NO	false-positive	minor	good	false	Codex	NO	false-positive	minor	good	false	Cursor
FINDING_6	Cursor-Pragmatic	neutral	NO	partially-true	major	adequate	false	Claude	NO	partially-true	major	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_7	Cursor-Requirements	accepted	NO	false-positive		adequate	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_8	Codex-Requirements	rejected	NO	false-positive		good	true	Claude	NO	false-positive	major	good	false	Codex	NO	false-positive	minor	adequate	false	Cursor
FINDING_9	Cursor-dyn-emitter-routing-fidelity	accepted	NO	partially-true		adequate	true	Claude	YES	true	minor	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_10	Cursor-dyn-call-site-cutover-gaps	neutral	NO	true		adequate	true	Claude	YES	true	major	adequate	false	Codex	NO	partially-true	minor	adequate	false	Cursor
FINDING_11	Codex-dyn-finalize-boundary	accepted	NO	partially-true		good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_12	Codex-dyn-finalize-boundary	rejected	NO	true		adequate	true	Claude	NO	true	minor	adequate	false	Codex	NO	partially-true	nit	adequate	false	Cursor
FINDING_13	Codex-Arch	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_14	Codex-Edge	neutral	NO	partially-true	nit	good	false	Claude	YES	true	minor	good	false	Codex	NO	partially-true	minor	good	false	Cursor
FINDING_15	Cursor-dyn-finalize-boundary	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
OOS_1	Codex-Arch	accepted	YES	true	major	adequate	false	Claude	YES	true	major	no-fix	false	Codex	YES	true	minor	adequate	false	Cursor
OOS_2	Cursor-Innovation	accepted	YES	true	minor	adequate	false	Claude	YES	true	minor	no-fix	false	Codex	NO	false-positive	nit	weak	false	Cursor
OOS_3	Cursor-Pragmatic	accepted	YES	true	minor	adequate	false	Claude	YES	true	minor	no-fix	false	Codex	YES	true	minor	good	false	Cursor
OOS_4	Cursor-Pragmatic	neutral	NO	true	nit	adequate	false	Claude	NO	true	nit	no-fix	false	Codex	YES	true	nit	good	false	Cursor
OOS_5	Cursor-dyn-emitter-routing-fidelity	rejected	NO	true	nit	adequate	false	Claude	NO	true	nit	no-fix	false	Codex	NO	partially-true	nit	adequate	false	Cursor
OOS_6	Cursor-dyn-emitter-routing-fidelity	neutral	YES	true	minor	adequate	false	Claude	NO	true	minor	no-fix	false	Codex	NO	true	minor	good	false	Cursor
OOS_7	Cursor-dyn-emitter-routing-fidelity	rejected	NO	true	nit	adequate	false	Claude	NO	true	nit	no-fix	false	Codex	NO	partially-true	nit	weak	false	Cursor
