finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch	accepted	YES	partially-true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	blocker	excellent	false	Cursor	important
FINDING_2	Cursor-Arch	accepted	YES	partially-true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	blocker	excellent	false	Cursor	important
FINDING_3	Cursor-Innovation	neutral	NO	false-positive	minor	weak	false	Claude	NO	false-positive	nit	weak	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_4	Codex-Innovation	neutral	NO	true	minor	good	false	Claude	NO	true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor	latent
FINDING_5	Cursor-Pragmatic	accepted	NO	true	minor	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_6	Cursor-dyn-bash-contract-parity	accepted	YES	true	minor	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_7	Codex-dyn-bash-contract-parity	neutral	NO	true	minor	good	false	Claude	NO	true	minor	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_8	Codex-dyn-bash-contract-parity	accepted	YES	true	minor	good	false	Claude	NO	true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_9	Codex-dyn-bash-contract-parity	accepted	YES	true	minor	good	false	Claude	NO	true	minor	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_10	Codex-dyn-harness-intercept-gap	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_11	Cursor-dyn-stale-ref-completeness	neutral	NO	true	minor	good	false	Claude	NO	true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_12	Cursor-dyn-stale-ref-completeness	neutral	NO	true	minor	good	false	Claude	NO	true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_13	Cursor-dyn-stale-ref-completeness	neutral	NO	true	minor	adequate	false	Claude	NO	true	minor	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important
OOS_1	Cursor-Innovation	neutral	NO	true	minor	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	latent
OOS_2	Cursor-dyn-stale-ref-completeness	rejected	NO	true	nit	adequate	false	Claude	NO	true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	nit
OOS_3	Cursor-dyn-stale-ref-completeness	rejected	NO	true	nit	adequate	false	Claude	NO	true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	nit
