finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch Phase2, Codex-Pragmatic, Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_2	Cursor-Innovation, Cursor-Requirements, Cursor-dyn-Cleanup Risk	accepted	YES	true	blocker	excellent	false	Claude	YES	true	blocker	excellent	false	Codex	YES	true	blocker	excellent	false	Cursor	blocking	in_scope
FINDING_3	Cursor-dyn-Cleanup Risk	accepted	NO	true	minor	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_4	Codex-Arch	rejected	NO	false-positive	minor	adequate	false	Claude	NO	false-positive	major	weak	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important	in_scope
FINDING_5	Codex-Innovation	rejected	NO	false-positive	minor	adequate	false	Claude	NO	partially-true	major	weak	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important	in_scope
FINDING_6	Cursor-Pragmatic	neutral	NO	partially-true	minor	adequate	false	Claude	YES	true	major	adequate	false	Codex	NO	true	major	good	false	Cursor	important	in_scope
FINDING_7	Codex-Pragmatic	rejected	NO	false-positive	minor	adequate	false	Claude	NO	false-positive	major	weak	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important	in_scope
FINDING_8	Codex-Requirements	rejected	NO	false-positive	minor	adequate	false	Claude	NO	false-positive	major	weak	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important	in_scope
FINDING_9	Cursor-dyn-Parity Correctness Phase2	rejected	NO	false-positive	minor	adequate	false	Claude	NO	false-positive	major	weak	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important	in_scope
FINDING_10	Codex-dyn-Parity Correctness	rejected	NO	false-positive	minor	adequate	false	Claude	NO	false-positive	major	weak	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important	in_scope
OOS_1	Cursor-Pragmatic	rejected	NO	true	nit	adequate	false	Claude	NO	true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent	oos
OOS_2	Cursor-dyn-Cleanup Risk	rejected	NO	true	nit	adequate	false	Claude	NO	true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent	oos
