surface	field_key	source	transform
bug-body	failing_step	STALL_STEP	enum
bug-body	failing_phase	PHASE	enum
bug-body	failure_class	FAILURE_CLASS	enum
bug-body	exit_code	EXIT_CODE	integer
bug-body	signature_hash	FAILURE_SIGNATURE	hex
bug-body	inferred_root_cause	FAILURE_CLASS	fixed-prose-template
bug-body	suggested_mitigation	FAILURE_CLASS	fixed-prose-template
bug-comment	failing_step	STALL_STEP	enum
bug-comment	failing_phase	PHASE	enum
bug-comment	failure_class	FAILURE_CLASS	enum
bug-comment	exit_code	EXIT_CODE	integer
bug-comment	signature_hash	FAILURE_SIGNATURE	hex
bug-comment	inferred_root_cause	FAILURE_CLASS	fixed-prose-template
bug-comment	suggested_mitigation	FAILURE_CLASS	fixed-prose-template
bug-comment	attempt_count	attempts-file	integer
bug-comment	attempt_table	attempts-file	allowlisted-attempt-fields
bug-comment	final_class	FAILURE_CLASS	enum
bug-comment	final_signature	FAILURE_SIGNATURE	hex
issue-input-file	title	FAILURE_CLASS+STALL_STEP	synthesized-heading
issue-input-file	body	bug-body	body-file
chat-print	failing_step	STALL_STEP	enum
chat-print	failing_phase	PHASE	enum
chat-print	failure_class	FAILURE_CLASS	enum
chat-print	exit_code	EXIT_CODE	integer
chat-print	signature_hash	FAILURE_SIGNATURE	hex
chat-print	inferred_root_cause	FAILURE_CLASS	fixed-prose-template
chat-print	suggested_mitigation	FAILURE_CLASS	fixed-prose-template
