finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch, Codex-Arch, Cursor-Edge, Codex-Edge, Cursor-Innovation, Codex-Innovation, Cursor-Requirements, Codex-Requirements, Cursor-dyn-loop-state-ordering, Codex-dyn-loop-state-ordering	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_2	Cursor-Arch, Codex-Arch, Cursor-Edge, Codex-Edge, Cursor-Innovation, Codex-Innovation, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements, Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_3	Cursor-Arch, Codex-Arch, Cursor-Edge, Codex-Edge, Cursor-Requirements, Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_4	Cursor-Arch, Codex-Arch, Cursor-Innovation, Codex-Innovation, Cursor-Requirements, Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_5	Cursor-Arch, Codex-Arch, Cursor-Edge, Codex-Edge, Cursor-Innovation, Codex-Innovation, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements, Codex-Requirements, Cursor-dyn-kv-surface-sync, Codex-dyn-kv-surface-sync	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	good	false	Cursor
FINDING_6	Cursor-Arch, Codex-Arch, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements, Codex-Requirements	accepted	YES	true	minor	good	false	Claude	YES	true	minor	good	false	Codex	YES	true	major	adequate	false	Cursor
FINDING_7	Cursor-Edge, Codex-Edge	exonerated	EXONERATE	true	minor	adequate	false	Claude	EXONERATE	true	minor	adequate	false	Codex	YES	true	minor	good	false	Cursor
FINDING_8	Cursor-Edge, Codex-Edge, Cursor-dyn-loop-state-ordering, Codex-dyn-loop-state-ordering, Cursor-dyn-kv-surface-sync, Codex-dyn-kv-surface-sync	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	good	false	Cursor
FINDING_9	Cursor-Innovation, Codex-Innovation	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_10	Cursor-Innovation, Codex-Innovation, Cursor-Pragmatic, Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_11	Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements, Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	adequate	false	Cursor
FINDING_12	Cursor-Pragmatic, Codex-Pragmatic	accepted	YES	true	minor	good	false	Claude	YES	true	minor	good	false	Codex	YES	true	minor	good	false	Cursor
FINDING_13	Cursor-dyn-loop-state-ordering, Codex-dyn-loop-state-ordering	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_14	Cursor-dyn-kv-surface-sync, Codex-dyn-kv-surface-sync	exonerated	EXONERATE	partially-true	minor	adequate	false	Claude	EXONERATE	partially-true	minor	adequate	false	Codex	YES	partially-true	major	good	false	Cursor
FINDING_15	Cursor-dyn-kv-surface-sync, Codex-dyn-kv-surface-sync	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_16	Cursor-dyn-allowlist-drift-contract, Codex-dyn-allowlist-drift-contract	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_17	Cursor-dyn-allowlist-drift-contract, Codex-dyn-allowlist-drift-contract	exonerated	EXONERATE	partially-true	minor	adequate	false	Claude	EXONERATE	partially-true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_18	Cursor-dyn-allowlist-drift-contract, Codex-dyn-allowlist-drift-contract	accepted	YES	true	minor	good	false	Claude	YES	true	minor	good	false	Codex	EXONERATE	true	minor	adequate	false	Cursor
