Reading the implementation plan and exploring the codebase paths it references.
Exploring integration points referenced in the plan.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	skills/design/scripts/render-final-summary.sh:43-48	Plan claims no render-final-summary change for cancelled-assessor-worse	Stop branch exports SUMMARY_OUTCOME=cancelled-assessor-worse; render-final-summary.sh rejects unknown outcomes with exit 2 (same as cancelled-plan-size-soft in test-render-final-summary.sh)	Add cancelled-assessor-worse to the case allowlist; extend test-render-final-summary.sh ten-outcome matrix; update render-final-summary.md
2	in_scope	important	correctness	plan.txt:87-89,203	Edge-case tally table contradicts the formal 3-assessor rule	Formal rule is worse_count > better_count when successful==3; 1 WORSE + 2 TIE yields WORSE-majority but edge cases say 0-2-1 -> NOT_WORSE; all-tie (0-0-3) yields NOT_WORSE but edge cases say 0-0-3 -> WORSE	Harmonize tally-plan-assessor.sh spec and test-tally-plan-assessor.sh with product intent (e.g. require worse_count >= 2 for 3-panel majority, or worse_count > better_count AND worse_count > tie_count); fix Edge cases bullets and worked examples in assessor.md
3	in_scope	important	correctness	skills/shared/scripts/render-assessor-prompt.sh:68-73	Assessor prompt does not state the comparison axis	Three plans are inlined but no normative instruction to judge plan-current vs plan-prev (original is context only); models may compare against original or holistically, breaking worse-than-previous-round intent	Add explicit verdict rubric: BETTER/WORSE/TIE is relative to plan-prev vs plan-current only; original is baseline context; pin required phrasing in test-render-assessor-prompt.sh
4	in_scope	important	architecture	plan.txt:21-22,109;skills/design/SKILL.md:720-736	Family B / foreground orchestration is underspecified vs plan-review-loop	Plan requires background+breadcrumb-monitor for dispatch-plan-assessors; Step 3 plan-review-loop is foreground-only from SKILL while dispatch-plan-voters runs synchronously inside the driver	Specify Step 3.6 foreground assess-plan-round.sh (mirror plan-review-loop); implement dispatch-plan-assessors.sh as a dispatch-plan-voters.sh sibling (internal LARCH_PAIRED_PID_FILE + unset before nested waterfall); drop SKILL-level run_in_background unless assess-plan-round is denylisted
5	in_scope	important	correctness	plan.txt:210-210	Failure-mode text misattributes cursor increment to Step 3.6	Mitigation says Step 3.6 increments cursor before write-after; Gate C(c) increments plan-review-round-cursor.txt before re-entering Step 3, not Step 3.6	Rewrite failure mode: Gate C HARD-only cursor bump before Step 3; Step 3.6 write-after is per-round post-Gate B; desync is failed/missing plan-after-round-<N>, not cursor order inside 3.6
6	in_scope	nit	architecture	skills/design/SKILL.md:30	Anti-halt step chain omits new Step 3.6	Reminder lists 3->3.5->3b; omitting 3.6 invites halt after Gate B on HARD multi-round runs	Insert 3.6 between 3.5 and 3b in the anti-halt transition list (and any progress-reporting cross-refs if pinned)
7	in_scope	nit	architecture	skills/design/SKILL.md:149-156	Step 3.6 lacks MANDATORY READ of normative reference	Gates 3.5/4b require reading approval-gates.md; assessor.md is normative but not loaded in SKILL	Add MANDATORY READ ENTIRE FILE for skills/design/references/assessor.md before Step 3.6 body (match Gate B/C pattern)
8	in_scope	nit	architecture	plan.txt:55	dispatch-plan-assessors cites nonexistent lib-waterfall-slot.sh	No lib-waterfall-slot.sh in repo; dispatch-plan-voters.sh builds NDJSON manifest inline	Point implementer at dispatch-plan-voters.sh / dispatch-plan-review-panel.sh manifest pattern; remove lib-waterfall-slot.sh-equivalent wording
9	in_scope	latent	correctness	skills/design/references/assessor.md:121;skills/design/SKILL.md:731	Feature context path may diverge from Step 3	assessor.md names feature-description.txt; Step 3 plan-review-loop uses ${IMPLEMENT_TMPDIR:-$DESIGN_TMPDIR}/feature-description.txt	Resolve feature path once in assess-plan-round.sh (same fallback as plan-review-loop) and pass through dispatch argv; document in assessor.md
10	in_scope	nit	correctness	skills/design/SKILL.md:149-154	Step 3 cursor wiring underspecified for Bash fence	read-cursor emits ROUND_CURSOR=N KV; Step 3 today passes literal --round-num 1	Document parsing ROUND_CURSOR from snapshot-plan-round.sh read-cursor stdout into --round-num for plan-review-loop.sh (same KV loop style as plan-review driver)
