finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-generic-output.txt|dyn-plan-cli-contracts-output.txt|dyn-retired-path-sweep-output.txt|dyn-artifact-security-output.txt	accepted	YES	true	blocker	excellent	false	YES	true	major	adequate	false	YES	true	major	adequate	false
FINDING_10	dyn-artifact-security-output.txt	accepted	YES	uncertain	major	adequate	true	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_2	cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|dyn-plan-cli-contracts-output.txt|dyn-retired-path-sweep-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_3	cursor-specialist-edge-cases-output.txt	accepted	YES	true	minor	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_4	cursor-specialist-edge-cases-output.txt	rejected	NO	true	minor	adequate	false	NO	true	minor	adequate	false	NO	partially-true		good	true
FINDING_5	cursor-specialist-edge-cases-output.txt	neutral	YES	true	minor	good	false	NO	true	minor	adequate	false	NO	true	minor	good	false
FINDING_6	codex-generic-output.txt	accepted	YES	uncertain	major	adequate	true	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_7	dyn-plan-cli-contracts-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_8	dyn-plan-cli-contracts-output.txt	accepted	YES	partially-true	minor	adequate	true	NO	partially-true	minor	adequate	false	YES	true	major	good	false
FINDING_9	dyn-retired-path-sweep-output.txt	accepted	YES	partially-true	minor	good	true	YES	true	major	good	false	YES	true	major	adequate	false
OOS_1	dyn-plan-cli-contracts-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	true	nit	no-fix	false
OOS_2	dyn-plan-cli-contracts-output.txt|dyn-artifact-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	true	nit	no-fix	false
OOS_3	dyn-plan-cli-contracts-output.txt|dyn-retired-path-sweep-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
OOS_4	dyn-retired-path-sweep-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
OOS_5	dyn-retired-path-sweep-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
OOS_6	dyn-retired-path-sweep-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
OOS_7	dyn-artifact-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	true	nit	no-fix	false
OOS_8	dyn-artifact-security-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	no-fix	false
OOS_9	dyn-artifact-security-output.txt	rejected	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
