Reviewing the plan against the codebase and requirements.
Checking whether variable-based waterfall invocations would bypass the proposed linter rule:
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	skills/design/scripts/decompose-panel-dispatch.sh:131-142	Plan adds fallback_group dedup to dispatch-with-waterfall.sh but never wires fallback_group into the 8-slot decompose manifest	Primary goal "prevent double Codex work" on paired decomp-cursor-* / decomp-codex-* slots never activates; all manifests omit the field so dispatcher stays on legacy per-slot path	Add fallback_group to each jq manifest row (e.g. fallback_group:"decomp-${_a}" shared by the cursor/codex pair per archetype); update skills/design/scripts/test-decompose-panel-dispatch.sh to assert the field is present
2	in_scope	important	correctness	scripts/dispatch-with-waterfall.sh:321-336	Plan only writes ledger rows on phase-2 fallback success; silent on recording phase-1 settlements	Motivating case (decomp-codex-* OK in phase 1, decomp-cursor-* needs phase-2 Codex) finds an empty ledger and still launches duplicate Codex	After each collect_phase, append ledger rows for settled slots that have fallback_group (tool, output_path, status=OK) before the next phase launch loop runs
3	in_scope	important	correctness	scripts/lint-foreground-markers.sh:212-244	Proposed shell scanner mirrors is_anchor_for_basename which requires the literal dispatch-with-waterfall.sh token on the invocation line	Five of seven production callers invoke via "$WATERFALL_SH" / "$DISPATCH_WATERFALL_SH" / "$DISPATCH_SH" / "$DISPATCH_WATERFALL" (decompose-panel-dispatch.sh:153, decompose-aggregator.sh:116, dispatch-plan-review-panel.sh:140, aggregate-findings.sh:730, dispatch-panel.sh:404); unset rule never fires on the scripts being fixed	Extend scan_shell_file_for_unset_before_nested_child to recognize variable-indirection call sites tied to a nearby assignment from dispatch-with-waterfall.sh, or require literal-path invocations; add lint fixtures for "$WATERFALL_SH" patterns
4	in_scope	important	architecture	scripts/dispatch-with-waterfall.sh:324-337	Edge-case prose claims phase-2 launches are serialized within a call; implementation launches the full phase-2 queue in parallel then waits	Concurrent phase-2 peers in the same fallback_group can both miss the ledger and launch duplicate Codex; the planned dedup-hit test (first slot phase-2 OK, second reuses) is incompatible with parallel launch unless phase-1 ledger is populated first	Revise edge-case/failure-mode text; either interleave per-slot ledger check+launch for grouped slots or document that dedup covers only cross-phase reuse (phase-1 peer OK) not same-phase peer races
5	in_scope	important	correctness	scripts/test-dispatch-with-waterfall.sh:1-376	Testing strategy covers unit dedup cases only; no integration assertion that decompose manifest emits fallback_group	Regression in decompose-panel-dispatch.sh jq wiring ships without failing make test-decompose-panel-dispatch (Makefile test-harnesses-14)	Add a decompose-panel-dispatch harness case (or extend existing stub-log assertions) verifying manifest rows carry the expected fallback_group values
6	in_scope	latent	correctness	scripts/dispatch-with-waterfall.sh:1-130	Ledger path cites session tmpdir env vars the dispatcher does not receive	Ledger file may land in an unpredictable directory instead of per-call isolation under the caller's slots-file tree	Anchor waterfall-group-results.tsv under dirname(--slots-file) (or an explicit new flag) and document that path in dispatch-with-waterfall.md
7	in_scope	nit	correctness	skills/design/scripts/decompose-panel-dispatch.sh:145-171	Plan lists two dispatch-with-waterfall callsites; line 171 is append-tool-failure --tool metadata not an invocation	Implementer may search for a nonexistent second callsite and miss the sole "$WATERFALL_SH" invoke at 153-159	Correct plan prose to one callsite at 153-159
8	out_of_scope	latent	architecture	skills/design/scripts/dispatch-plan-review-panel.sh:105-147	Plan-review static/dynamic cursor+codex slot pairs have the same dual-vendor double-Codex shape but no fallback_group adoption is proposed	Same waste pattern persists on /design Step 3 plan-review panel outside decompose scope	Track follow-up to add fallback_group to plan-review manifest rows if cost reduction should extend beyond decompose

**1. [correctness]** [`skills/design/scripts/decompose-panel-dispatch.sh:131-142`](skills/design/scripts/decompose-panel-dispatch.sh) — Item C adds `fallback_group` to the dispatcher and documents a `decomp-arch` example, but no plan step updates the decompose manifest builder. Without `fallback_group` on the eight NDJSON rows, production decompose runs never opt into dedup.

**2. [correctness]** [`scripts/dispatch-with-waterfall.sh:321-336`](scripts/dispatch-with-waterfall.sh) — Dedup is specified only around phase-2 fallback launch/write paths. The stated breakage scenario depends on a phase-1 OK from `decomp-codex-*` being visible before `decomp-cursor-*` enters phase 2; the plan never requires ledger writes after `collect_phase` for settled phase-1 slots.

**3. [correctness]** [`scripts/lint-foreground-markers.sh:212-244`](scripts/lint-foreground-markers.sh) — Reusing `is_anchor_for_basename` limits enforcement to lines containing the literal `dispatch-with-waterfall.sh`. Most callers being patched invoke through shell variables, so the new linter would not guard the very files Item B modifies (only `dispatch-plan-voters.sh` / `dispatch-code-voters.sh`, which already unset).

**4. [architecture]** [`scripts/dispatch-with-waterfall.sh:324-337`](scripts/dispatch-with-waterfall.sh) — Plan edge cases assert serialized phase-2 execution; the script resets and launches the entire phase-2 queue before `collect_phase`. That contradicts the race mitigation narrative and conflicts with the planned dedup-hit test unless phase-1 ledger population happens first or phase-2 becomes sequential for grouped slots.

**5. [correctness]** [`scripts/test-dispatch-with-waterfall.sh`](scripts/test-dispatch-with-waterfall.sh) / [`skills/design/scripts/test-decompose-panel-dispatch.sh`](skills/design/scripts/test-decompose-panel-dispatch.sh) — Unit dedup tests are specified, but `test-decompose-panel-dispatch` (registered in Makefile `test-harnesses-14`) has no planned assertion that manifest rows include `fallback_group`, leaving the primary wiring untested.

**6. [correctness]** [`scripts/dispatch-with-waterfall.sh:1-130`](scripts/dispatch-with-waterfall.sh) — Ledger location references `$DESIGN_TMPDIR` / `$REVIEW_TMPDIR` env vars the dispatcher does not parse; per-call isolation should be tied to `--slots-file` path derivation.

**7. [correctness]** [`skills/design/scripts/decompose-panel-dispatch.sh:145-171`](skills/design/scripts/decompose-panel-dispatch.sh) — Plan cites two waterfall callsites; only `"$WATERFALL_SH"` at 153-159 is a real invocation (171 is `--tool "dispatch-with-waterfall.sh"` in failure logging).

