finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch, Cursor-Edge, Cursor-Pragmatic, Cursor-Requirements, Cursor-dyn-baseline-contract, Cursor-dyn-handoff-schema, Cursor-dyn-operator-fence	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_2	Codex-Arch, Codex-Pragmatic, Codex-dyn-baseline-contract	exonerated	EXONERATE	partially-true	nit	adequate	false	Claude	EXONERATE	true	nit	adequate	false	Codex	EXONERATE	true	minor	good	false	Cursor
FINDING_3	Codex-Edge, Codex-dyn-handoff-schema	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_4	Cursor-Innovation	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_5	Codex-Innovation	accepted	YES	partially-true	major	good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_6	Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	EXONERATE	true	minor	good	false	Cursor
FINDING_7	Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_8	Codex-dyn-handoff-schema, Codex-dyn-operator-fence	accepted	YES	true	minor	good	false	Claude	YES	true	minor	good	false	Codex	YES	true	minor	excellent	false	Cursor
FINDING_9	Codex-dyn-operator-fence	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_10	Codex-dyn-operator-fence	accepted	YES	partially-true	minor	good	true	Claude	YES	partially-true	minor	good	true	Codex	EXONERATE	true	nit	adequate	false	Cursor
