finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch, Cursor-Edge, Cursor-Innovation, Cursor-Pragmatic	accepted							YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_2	Cursor-Arch	accepted							YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_3	Codex-Arch, Codex-Edge, Codex-Innovation, Codex-Pragmatic, Codex-Requirements, Codex-dyn-publish-ordering	accepted							YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_4	Codex-Edge, Codex-Innovation, Codex-dyn-publish-ordering	accepted							YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_5	Codex-Requirements, Codex-dyn-publish-ordering	exonerated							EXONERATE	true	nit	adequate	false	Codex	EXONERATE	true	minor	good	false	Cursor
FINDING_6	Cursor-dyn-phase-contract	accepted							YES	partially-true	major	good	true	Codex	YES	true	major	excellent	false	Cursor
FINDING_7	Codex-dyn-phase-contract	accepted							YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_8	Codex-dyn-publish-ordering	accepted							YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_9	Cursor-dyn-drift-harness	accepted							YES	partially-true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_10	Codex-dyn-drift-harness	accepted							YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_11	Codex-dyn-drift-harness	accepted							YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
