finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch	accepted	YES	true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_2	Cursor-Arch, Cursor-Pragmatic, Cursor-Requirements	neutral	NO	partially-true	minor	adequate	false	codex-validity	NO	false-positive	minor	no-fix	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	oos
FINDING_3	Cursor-Arch, Cursor-Pragmatic, Cursor-Requirements	neutral	YES	true	major	good	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	major	oos
FINDING_4	Codex-Arch	accepted	YES	partially-true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_5	Cursor-Pragmatic	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_6	Codex-Pragmatic	accepted	YES	true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_7	Codex-Pragmatic	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	NO	uncertain	minor	adequate	true	codex-pragmatism	major	in_scope
FINDING_8	Cursor-Requirements	neutral	YES	partially-true	major	good	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	major	oos
OOS_1	Cursor-Arch	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	false-positive	minor	no-fix	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	minor	oos
OOS_2	Cursor-Pragmatic	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	false-positive	minor	no-fix	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	minor	oos
