design.plan_review.cursor_archetypes	Cursor	Architecture/Standards Innovation/Exploration Pragmatism/Safety Requirements/Completeness	skills/design/references/plan-review.md
design.plan_review.codex_archetypes	Codex	Architecture/Standards Innovation/Exploration Pragmatism/Safety Requirements/Completeness	skills/design/references/plan-review.md
design.plan_review.dynamic_archetypes	up to 3	scout proposes specialists fanned into Cursor+Codex dyn slots	python/larch/design/plan_scout.py
design.plan_review.panel_slots	round gated static plus dynamic	NDJSON manifest from python/cli.py plan-review panel-dispatch via paths-file sidecar	python/larch/review/plan_review_panel.py
design.decompose.panel_slots	8 fixed	4 archetypes x 2 vendors via python/cli.py	skills/design/references/decompose-panel.md
design.decompose.dispatch	python/cli.py	renders prompts + agent dispatch-waterfall	python/cli.py
design.decompose.aggregator	python/cli.py	single-slot merge of panel proposals	python/cli.py
design.decompose.file_issues	python/cli.py	prepare annotate close-original	python/cli.py
design.decompose.harness_panel	cli.py	offline panel regression coverage	python/cli.py
design.decompose.harness_agg	cli.py	offline aggregator merge coverage	python/cli.py
design.decompose.harness_file	cli.py	offline prepare annotate close-original coverage	python/cli.py
design.plan.preview_emit	Step 3 plan-candidate preview	Gate C final-plan preview	python/larch/review/plan_review_loop.py
design.plan_commands.validate	Tier2+opt-in Tier3	plan fenced bash/sh	python/larch/design/plan_quality.py
implement.conflict_review.panel	3-reviewer	Claude Code Reviewer subagent + Codex + Cursor	skills/implement/references/conflict-resolution.md
implement.conflict_review.rounds_max	2 total	resolution-review rounds	skills/implement/references/conflict-resolution.md
research.lanes	four research lanes	architecture + edge cases + external comparisons + security	skills/research/references/research-phase.md
research.validation_panel	3 reviewer lanes	Claude Code Reviewer subagent + Codex + Cursor	skills/research/references/validation-phase.md
implement.review_and_fix.panel_hard	specialists per vendor	Cursor + Codex	python/larch/review/review_pipeline.py
deps.issue_audit	one approval gate	open-issue grouping + REGULAR refresh + explicit and latent dependency audit	skills/deps/SKILL.md
runtime.residual_bash.inventory	residual-bash	hooks linters thin wrappers sleep helper G-track delegation fences and residual harnesses	python/larch/cli.py
runtime.pr_closes_issue	closes-issue	PR-body Closes issue extraction authority	python/larch/git/pr.py
