finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_2	Codex-Arch	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_3	Codex-Arch	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_4	Codex-Arch	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_5	Cursor-Edge	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_6	Cursor-Edge	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_7	Cursor-Edge	accepted	YES	true	major	good	false	Claude	YES	partially-true	major	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_8	Cursor-Edge	accepted	YES	true	major	good	false	Claude	YES	partially-true	major	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_9	Cursor-Edge	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_10	Cursor-Edge	exonerated	EXONERATE	true	minor	adequate	false	Claude	YES	true	minor	adequate	false	Codex	EXONERATE	true	minor	adequate	false	Cursor
FINDING_11	Codex-Edge	accepted	YES	true	major	good	false	Claude	YES	true	major	excellent	false	Codex	YES	partially-true	major	good	false	Cursor
FINDING_12	Codex-Edge	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_13	Codex-Edge	accepted	YES	true	major	good	false	Claude	YES	true	minor	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_14	Cursor-Innovation, Cursor-dyn-key-removal-survey	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_15	Codex-Innovation	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_16	Codex-Innovation	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_17	Codex-Innovation	accepted	YES	true	minor	good	false	Claude	YES	true	major	excellent	false	Codex	EXONERATE	true	minor	adequate	false	Cursor
FINDING_18	Codex-Innovation	accepted	YES	true	nit	adequate	false	Claude	YES	true	nit	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_19	Cursor-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	adequate	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_20	Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_21	Cursor-Requirements	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_22	Codex-Requirements	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_23	Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_24	Codex-Requirements	accepted	YES	true	minor	good	false	Claude	YES	true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_25	Cursor-dyn-test-fixture-sync	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_26	Codex-dyn-test-fixture-sync	accepted	YES	true	major	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_27	Codex-dyn-test-fixture-sync	accepted	YES	true	minor	good	false	Claude	YES	true	minor	good	false	Codex	EXONERATE	partially-true	minor	adequate	false	Cursor
FINDING_28	Codex-dyn-key-removal-survey	accepted	YES	true	minor	good	false	Claude	YES	true	nit	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_29	Codex-dyn-key-removal-survey	accepted	YES	true	nit	adequate	false	Claude	YES	true	nit	good	false	Codex	YES	true	nit	good	false	Cursor
FINDING_30	Codex-dyn-key-removal-survey	accepted	YES	true	nit	adequate	false	Claude	YES	true	nit	good	false	Codex	YES	true	minor	good	false	Cursor
FINDING_31	Cursor-dyn-pattern-gate-parity	accepted	YES	true	major	excellent	false	Claude					true	Codex	YES	true	major	excellent	false	Cursor
FINDING_32	Codex-dyn-pattern-gate-parity	exonerated	YES	true	minor	good	false	Claude					true	Codex	EXONERATE	true	minor	adequate	false	Cursor
OOS_1	Cursor-Edge	accepted	YES	true	nit	adequate	false	Claude					true	Codex	YES	true	minor	good	false	Cursor
OOS_2	Cursor-Edge	exonerated	YES	true	nit	adequate	false	Claude					true	Codex	EXONERATE	partially-true	nit	weak	false	Cursor
