Reviewing the implementation plan and validating it against the codebase.
1. **[correctness]** `phase_plan_materialize` omits `write-tally.sh` / `plan-review-tally` batch — [`skills/implement/SKILL.md:783-787`](skills/implement/SKILL.md), plan steps 10–11. Current Step 0 writes `plan-review-tally.json` via `write-tally.sh` after `plan-goals-test`; the plan only calls `run-step1-plan-log.sh` and `tracking-issue-summary.sh`. Runs can miss the Step 0 tally batch documented at [`skills/implement/SKILL.md:620`](skills/implement/SKILL.md).

2. **[architecture]** `DEFERRED=true` (`POSTED=false`) path loses all plan materialization when prompt blocks are removed — [`scripts/implement-bootstrap.sh:146-150`](scripts/implement-bootstrap.sh), [`skills/implement/SKILL.md:602`](skills/implement/SKILL.md), [`skills/implement/SKILL.md:654-656`](skills/implement/SKILL.md). F7 skips `phase_plan_materialize` when `DEFERRED=true`, but today L656 does **not** skip plan materialization for deferred runs, and the plan removes prompt-side #10–#16 without a carve-out. Metadata-deferred adoptions would stop copying `plan.txt`, creating branches, and writing larch-log batches.

3. **[integration]** `IMPLEMENT_BAIL_REASON=dirty-tree` has no orchestrator routing after collapse — [`skills/implement/SKILL.md:420-429`](skills/implement/SKILL.md), [`skills/implement/SKILL.md:733-735`](skills/implement/SKILL.md). Bootstrap sets `dirty-tree` without `STALL_TRACKING`; the routing guard only stalls on `STALL_TRACKING=true` or three tracking bails. L735 references “shared dirty-tree recovery rules” that are not defined elsewhere in `/implement`. Removing the prompt-side checkpoint without adding `dirty-tree` handling lets the run continue toward implementer waterfall without branch/plan setup.

4. **[correctness]** Proposed operation order swaps `cp plan` vs `gh issue view` relative to current SKILL — plan steps 3–4 vs [`skills/implement/SKILL.md:691-702`](skills/implement/SKILL.md). Failure-modes text claims L686–810 order `snapshot → gh → copy plan`, but live SKILL does `copy plan` then `gh`. Reordering can change failure surfaces (e.g., partial `plan.txt` before `feature-description.txt` exists).

5. **[correctness]** `--preflight-tmpdir` validation not retrofitted onto existing plan-phase harness cases — plan argv validation vs [`skills/implement/scripts/test-implement-bootstrap.sh:482-573`](skills/implement/scripts/test-implement-bootstrap.sh). `B2-plan`, `B4-plan`, `B5-plan`, `B4-all`, `B5-all` invoke `--up-to-phase plan` without `--preflight-tmpdir`; after validation lands they should exit 2 like planned `B10`, breaking CI until every case passes a populated preflight tmpdir.

6. **[correctness]** B5 green-path slug assertions target `BRANCH_NAME` from `git-current-branch.sh`, not derived branch — plan B5 spec (~lines 156–160). `BRANCH_NAME` is set from `git-current-branch` output (plan step 9); slug derivation only affects `create-branch.sh --branch`. Asserting slug substrings in `BRANCH_NAME` will fail with a static stub unless `git-current-branch` echoes the created branch or assertions use `invoke-log.txt` for `create-branch.sh --branch`.

7. **[integration]** SKILL exit-2 handler not updated for new `STEP_FAILED` values — plan edge cases 2/4 vs [`skills/implement/SKILL.md:298-361`](skills/implement/SKILL.md). Plan adds `STEP_FAILED=copy-plan` and `gh-issue-view` inside bootstrap but the SKILL update list does not extend the exit-2 branch (unlike `get-issue-state`). Operators get a generic abort without normalized copy.

8. **[integration]** SKILL updates omit several call-site / parser touchpoints — [`skills/implement/SKILL.md:12-14`](skills/implement/SKILL.md), [`skills/implement/SKILL.md:294`](skills/implement/SKILL.md), [`skills/implement/SKILL.md:363-417`](skills/implement/SKILL.md), [`skills/implement/SKILL.md:568`](skills/implement/SKILL.md). Protocol directive and anti-halt still say `--up-to-phase tracking`; KV scanner lacks `BRANCH_NAME`/`BRANCH_ACTION`/`PLAN_FILE` export; tracking section still describes a tracking-only bootstrap call.

9. **[security]** `larch-plan-summary.md` composition lacks sanitization step — [`skills/implement/SKILL.md:634`](skills/implement/SKILL.md), plan step 11. SKILL requires prompt-level sanitization before summary `content-file` publication; mechanical `tracking-issue-summary.sh` redaction is not sufficient for internal URLs/PII in issue-derived text.

10. **[code-quality]** B5 green-path case name collides with existing `B5-plan` — [`skills/implement/scripts/test-implement-bootstrap.sh:565-573`](skills/implement/scripts/test-implement-bootstrap.sh). Existing `B5-plan` guards tracking-init failure; plan’s green-path `B5-plan` needs a distinct id (e.g. `GP-plan-materialize`).

[OUT_OF_SCOPE] **[integration]** Orphan “Plan materialization from issue body” token/timing marks ([`skills/implement/SKILL.md:654-673`](skills/implement/SKILL.md)) — plan removal list does not include this block; after collapse it may duplicate or omit ledger marks unless absorbed into bootstrap or explicitly dropped.

schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	skills/implement/SKILL.md:783-787	phase_plan_materialize omits write-tally.sh plan-review-tally step	Step 0 runs lack plan-review-tally.json required by batch table and downstream log completeness	Add compose plan-review-tally-body.md plus write-tally.sh between run-step1-plan-log and tracking-issue-summary; stub write-tally in harness invoke-log tests
2	in_scope	important	architecture	scripts/implement-bootstrap.sh:146-150	Removing prompt #10-16 while F7 skips plan phase on DEFERRED=true	POSTED=false deferred adoptions lose plan copy branch creation and larch-log batches despite SKILL L602 continue-to-plan-materialization	Either split should_run_post_tracking_phase for plan vs coder allow plan when DEFERRED or keep a minimal prompt-side materialization block for DEFERRED=true only; update SKILL table L602 if skipping is intentional
3	in_scope	important	integration	skills/implement/SKILL.md:420-429	dirty-tree bail has no orchestrator routing after bootstrap absorption	STALL_TRACKING false with IMPLEMENT_BAIL_REASON=dirty-tree falls through to implementer waterfall without branch or plan	Add dirty-tree row to bootstrap routing table with AskUserQuestion recovery or set STALL_TRACKING and document operator flow; do not rely on undefined shared recovery rules at L735
4	in_scope	important	correctness	skills/implement/SKILL.md:691-702	Proposed gh-before-copy order differs from current SKILL	Order-sensitive failures and downstream file assumptions diverge from production Step 0	Match current SKILL order copy plan then gh compose then workflow-path; fix failure-modes comment to match
5	in_scope	important	correctness	skills/implement/scripts/test-implement-bootstrap.sh:482-573	Existing --up-to-phase plan cases lack --preflight-tmpdir	B2-plan B4-plan B5-plan and siblings fail argv validation after main post-parse guard	Add preflight tmpdir with plan-from-issue.txt to every plan coder all phase test invocation; extend B10 pattern
6	in_scope	important	correctness	skills/implement/scripts/test-implement-bootstrap.sh	B5 slug assertions use BRANCH_NAME not create-branch argv	Static git-current-branch stub makes slug substring asserts fail	Assert invoke-log create-branch --branch contains expected slug or make git-current-branch stub echo derived branch name
7	in_scope	important	integration	skills/implement/SKILL.md:298-361	No SKILL exit-2 branches for copy-plan or gh-issue-view	bootstrap exit 2 surfaces generic abort without operator message	Add STEP_FAILED handlers for copy-plan and gh-issue-view mirroring get-issue-state pattern
8	in_scope	important	integration	skills/implement/SKILL.md:12-417	SKILL call sites and KV parser incomplete for plan phase	Stale tracking-only instructions and unparsed BRANCH_NAME PLAN_FILE BRANCH_ACTION	Update protocol anti-halt L294 L568 to --up-to-phase plan; extend _ib_kv_scan and export; add bootstrap bail rows for run-flags-persist-failed branch-create-failed dirty-tree
9	in_scope	latent	security	skills/implement/SKILL.md:634	larch-plan-summary.md lacks sanitization in plan	Summary comment may leak secrets or internal URLs from issue body	Compose summary via redact-secrets.sh or equivalent before tracking-issue-summary upsert-summary
10	in_scope	nit	code-quality	skills/implement/scripts/test-implement-bootstrap.sh:565-573	B5-plan name collision with new green-path case	Harness confusion and overwritten expectations	Name green-path case GP-plan-materialize or B11-plan-green; keep B5-plan for tracking-init guard
11	out_of_scope	latent	integration	skills/implement/SKILL.md:654-673	Token timing mark block not in plan removal list	Duplicate or missing Step 0 plan materialization ledger marks after collapse	Remove block or move token-ledger.sh timing-ledger.sh mark Step 0 plan materialization into phase_plan_materialize
