Reading the plan and exploring referenced codebase paths for the architecture review.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	plan.txt:19-21 / skills/implement/SKILL.md:691-701	phase_plan_materialize orders gh issue view before cp plan-from-issue.txt	Canonical SKILL order is copy plan then compose feature-description; swapping can change failure semantics if gh fails after cp or if downstream assumes plan.txt exists before feature-description.txt	Reorder steps 3-4 to match SKILL: cp plan-from-issue.txt first then gh issue view into feature-description.txt; fix the Failure modes order comment to match
2	in_scope	important	correctness	plan.txt:77-80 / skills/implement/SKILL.md:783-786	Plan step 10 only calls run-step1-plan-log.sh; omits write-tally.sh plan-review-tally batch	run-step1-plan-log.sh does not invoke write-tally.sh; committed larch-logs will lack plan-review-tally.json/batch that Step 0 still requires per SKILL L786 and batch table L620	Add compose plan-review-tally-body.md plus write-tally.sh --phase plan-review after run-step1-plan-log (best-effort with append-tool-failure.sh); stub write-tally in harness
3	in_scope	important	architecture	skills/implement/SKILL.md:420-429 / plan.txt:37-39	Removing prompt-side dirty-tree block without adding IMPLEMENT_BAIL_REASON=dirty-tree routing	Bootstrap returns exit 0 with IMPLEMENT_BAIL_REASON=dirty-tree and STALL_TRACKING unset; routing guard only jumps to Step 18 for closed/PR/tracking-init-failed or STALL_TRACKING so run continues to implementer waterfall and 1.r rebase on a dirty tree	Extend Mandatory Step 0 routing table and post-bootstrap flow: on dirty-tree run checkpoint recovery (AskUserQuestion or documented auto-discard) before continuing; do not fall through to waterfall
4	in_scope	important	integration	skills/implement/SKILL.md:298-361 / plan.txt:214-216	No SKILL.md exit-2 handler for new STEP_FAILED=copy-plan or STEP_FAILED=gh-issue-view	Bootstrap exit 2 leaves orchestrator without normalized operator message (only generic abort)	Add _ib_sf branches mirroring get-issue-state for copy-plan and gh-issue-view with explicit operator text
5	in_scope	important	architecture	skills/implement/SKILL.md:654-685 / plan.txt:194-203	Step 0 collapse omits removal of Plan materialization token marks and Branch prefix create-branch --check blocks	After bootstrap absorbs #10-#16 prompt still runs duplicate create-branch --check and token/timing marks that phase_infra already performed	Remove L654-683 (or relocate token/timing plan-materialization marks into phase_plan_materialize if still required)
6	in_scope	important	risk-integration	skills/implement/scripts/test-implement-bootstrap.sh:482-572 / plan.txt:111-119	--preflight-tmpdir required for plan|coder|all but existing B2-plan B4-plan B5-plan lack it	Those cases will exit 2 from die_usage after argv validation lands breaking the regression harness	Add a shared preflight tmpdir fixture with plan-from-issue.txt and pass --preflight-tmpdir to every --up-to-phase plan (and coder/all) invocation
7	in_scope	important	correctness	plan.txt:156-160 / skills/implement/scripts/test-implement-bootstrap.sh	B5 slug edge-case asserts BRANCH_NAME contains derived slug	BRANCH_NAME is set from git-current-branch.sh stub not from create-branch --branch so slug tests pass/fail on the wrong signal	Assert create-branch.sh --branch <expected> appears in invoke-log.txt (or teach git-current-branch stub to echo the derived branch)
8	in_scope	important	correctness	plan.txt:221	Failure modes mitigation claims SKILL order snapshot then gh then cp	Same inversion as finding 1; misleading guard for implementers and reviewers	Correct the documented sequence to match SKILL L691-730 (after snapshot: cp gh workflow-path persist dirty-tree branch plan-log tally summary)
9	in_scope	latent	architecture	plan.txt:77-98 / skills/implement/SKILL.md:669-670	token-ledger.sh and timing-ledger.sh marks Step 0 — plan materialization dropped with removed prompt block	Timing/token reports lose the plan-materialization boundary marker present today	Add both marks at start of phase_plan_materialize (after rehydrating ledger keys from session-env.sh)
10	in_scope	important	security	plan.txt:83-90 / skills/implement/SKILL.md:632-634	larch-plan-summary.md composition has no sanitization step	Summary comment body may carry secrets/PII from issue title into a public GitHub comment	Apply redact-secrets.sh (and prompt-level internal-URL/PII rules) before writing larch-plan-summary.md per summary-comment rules
11	in_scope	nit	risk-integration	plan.txt:150 / skills/implement/scripts/test-implement-bootstrap.sh:565-572	Proposed green-path case name B5-plan collides with existing B5-plan tracking-init guard test	Harness ambiguity and brittle grep-based maintenance	Rename green-path case (e.g. B11-plan-green) and keep B5-plan for tracking-init-fail guard only

