finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch	accepted	YES	true	major	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_2	Cursor-Arch, Cursor-Innovation	neutral	YES	true	major	good	false	Claude	NO	false-positive	major	good	false	Codex	NO	true	major	good	false	Cursor	important
FINDING_3	Cursor-Innovation	accepted	YES	true	blocker	good	false	Claude	NO	false-positive	blocker	adequate	false	Codex	YES	true	blocker	excellent	false	Cursor	blocking
FINDING_4	Cursor-Innovation	accepted	YES	true	major	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_5	Cursor-Pragmatic, Codex-Generic	accepted	YES	partially-true	minor	good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_6	Cursor-Requirements	neutral	YES	true	major	good	false	Claude	NO	false-positive	major	good	false	Codex	NO	true	major	adequate	false	Cursor	important
FINDING_7	Codex-Generic	rejected	NO	true	minor	adequate	false	Claude	NO	true	minor	adequate	false	Codex	NO	true	minor	good	false	Cursor	important
OOS_1	Cursor-Arch	accepted	YES	true	minor	adequate	false	Claude	YES	true	minor	adequate	false	Codex	YES	true	minor	good	false	Cursor	latent
OOS_2	Cursor-Arch	accepted	YES	true	minor	adequate	false	Claude	NO	true	minor	adequate	false	Codex	YES	true	minor	good	false	Cursor	latent
OOS_3	Cursor-Innovation	neutral	NO	uncertain	uncertain	weak	true	Claude	NO	uncertain	uncertain	weak	true	Codex	YES	true	minor	adequate	false	Cursor	latent
