schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	skills/review/scripts/review-core.sh:416-429	Panel-failed short-circuit exits 2; plan snippet exits 0 for validation-exhausted while claiming to mirror panel-failed.	Harnesses or future logic that treat review-core rc as failure signal diverge; inconsistent with established terminal failure for voting abort paths.	Use exit 2 (or same rc as panel-failed) and match emit_kv set; drop exit 0 from the plan snippet unless a repo-wide contract explicitly requires 0.
1	in_scope	important	correctness	skills/review/scripts/aggregate-findings.sh:168-707	Plan test zero_findings_preamble_contradiction expects final REASON=validation-failed after introducing a three-phase loop that ends when all phases fail validation.	Full script run should surface REASON=validation-exhausted (and PHASES_ATTEMPTED), not validation-failed, unless the test is scoped to a single-phase harness only.	Clarify test as isolated aggregate-validate invocation, or assert validation-exhausted plus exhaustion artifacts; align expected REASON with emit_result contract.
1	in_scope	important	architecture	SECURITY.md:64-65	AGENTS.md requires SECURITY.md updates for security-relevant aggregation behavior; plan file list omits SECURITY.md.	Pre-vote aggregation narrative becomes false or incomplete (multi-tool retries, exhaustion stall).	Add SECURITY.md bullet refresh alongside aggregate-findings.md.
1	in_scope	nit	architecture	skills/review/scripts/review-core.md:57-63	Normative review-core pipeline doc omits new REVIEW_CORE_STATUS and aggregator exhaustion handoff.	Operators and subagent docs disagree with runtime KVs.	Extend review-core.md in the same change set as review-core.sh.
1	in_scope	nit	code-quality	skills/review/scripts/aggregate-findings.sh:104-112	emit_result centralizes stdout KVs; plan discusses PHASES_ATTEMPTED but does not say to extend emit_result.	Risk of duplicate or mis-ordered emit_kv lines vs lib-quiet conventions.	Explicitly extend emit_result (or single helper) for PHASES_ATTEMPTED and REASON=validation-exhausted.
1	out_of_scope	latent	security	skills/review/scripts/aggregate-findings.sh:168-178	Outer per-phase loop can stack with dispatch-with-waterfall internal Claude fallback (plan edge case).	Triple external dispatch increases prompt exposure surface and token spend versus today.	Document in SECURITY.md; consider optional env to suppress inner fallback when outer loop owns tool rotation (follow-up issue).
1	out_of_scope	nit	risk-integration	larch-logs/implement/06D2F52E-5E2D-4FDD-894D-CAD7B67AB5E5/round-1/dyn-mav-resume-cap-semantics-prompt.md:132-136	Committed implement prompts enumerate STALL_REASON=panel-failed but not aggregator-validation-exhausted.	Stale operator guidance in archived prompts only.	Update if those prompts remain authoritative for training; otherwise ignore.
1	in_scope	important	correctness	scripts/dispatch-with-waterfall.sh:125-134	Plan uses aggregator-output.txt.phaseN filenames but output_for_phase uses the base path for phase1 and basename-phase2.txt basename-phase3.txt for later phases.	Tests and aggregate-findings.md would assert nonexistent artifacts and miss real dispatch outputs.	Align docs tests and any copy logic with aggregator-output.txt plus aggregator-output-phase2.txt and aggregator-output-phase3.txt emitted by dispatch-with-waterfall.sh.
1	in_scope	important	correctness	skills/review/scripts/review-core.sh:416-429	Plan mirrors panel-failed but its snippet exits 0 while panel-failed exits 2.	Callers that key off review-core exit codes diverge from the established voting-abort contract.	Use exit 2 matching panel-failed unless the repo documents a deliberate rc split update the plan snippet accordingly.
1	in_scope	important	correctness	skills/review/scripts/aggregate-findings.sh:168-707	Plan test zero_findings_preamble_contradiction expects REASON=validation-failed under a three-phase exhaustion design that should end in REASON=validation-exhausted.	Integration test would fail or mask the new exhaustion contract.	Assert validation-exhausted and PHASES_ATTEMPTED or scope the test to aggregate-validate only clarify intent in the plan.
1	in_scope	important	architecture	SECURITY.md:64-65	Plan omits SECURITY.md while AGENTS.md asks for updates when aggregation behavior changes materially.	Security narrative for pre-vote aggregation becomes incomplete versus runtime multi-tool retries.	Add SECURITY.md to the file list and refresh the pre-vote aggregation bullet.
1	in_scope	nit	architecture	skills/review/scripts/review-core.md:57-63	Normative review-core doc not listed for new REVIEW_CORE_STATUS aggregator-validation-exhausted.	Operator and subagent docs drift from runtime KVs.	Update review-core.md alongside review-core.sh.
1	in_scope	nit	code-quality	skills/review/scripts/aggregate-findings.sh:104-112	PHASES_ATTEMPTED is specified but emit_result is not called out as the extension point.	Risk of ad-hoc emit_kv after emit_result breaking ordering conventions.	Plan should require extending emit_result for optional PHASES_ATTEMPTED.
1	out_of_scope	latent	security	skills/review/scripts/aggregate-findings.sh:168-178	Outer phase loop stacks with inner dispatch-with-waterfall Claude fallback per plan edge case.	Extra external calls expand untrusted prompt handling and cost.	Document in SECURITY.md consider follow-up env to disable inner fallback when outer loop sequences tools.
1	out_of_scope	nit	risk-integration	larch-logs/implement/06D2F52E-5E2D-4FDD-894D-CAD7B67AB5E5/round-1/dyn-mav-resume-cap-semantics-prompt.md:132-136	Archived Step 5 prompt prose lists STALL_REASON tokens without aggregator-validation-exhausted.	Stale training or operator copy only if these logs remain authoritative.	Update prompts if they are still templates otherwise ignore.
