Reviewing the implementation plan against stated requirements; reading the plan and referenced codebase paths.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	important	correctness	scripts/test-get-issue-state.sh:117-129	Proposed new cases reuse labels (f) and (g) but harness already ends at (g) for gh failure/success	Add-after-(e) cases would overwrite or duplicate existing (f)/(g) and break the regression matrix	Rename new missing-value cases to (h) and (i) (or renumber) and update Testing strategy text accordingly
2	in_scope	important	correctness	skills/review-and-fix/scripts/review-and-fix.sh:256-258	Item B adds --json and redirects codex stdout to coder-codex-events.jsonl but keeps cp from coder-codex.log without --output-last-message	With --capture-stdout dropped, codex stdout is JSONL not APPLIED:/SKIPPED: lines; coder-codex.log stays empty and coder-output.log loses dispatch transcript	Mirror launch-review/launch-codex-implement: add --output-last-message to a transcript path (e.g. coder-codex.log) and stop treating stdout capture as the dispatch log; adjust tests/stub if they assert APPLIED content in the log file
3	in_scope	important	correctness	scripts/lint-fix-loop.sh:217-225	Plan calls codex_launcher_record_usage_from_events with $PLUGIN_ROOT but script never defines PLUGIN_ROOT	Runtime empty plugin_root breaks parse-codex-usage/token-ledger paths silently (helper returns 0)	Define PLUGIN_ROOT="${CLAUDE_PLUGIN_ROOT:-$(cd "$SCRIPT_DIR/.." && pwd -P)}" (same pattern as launch-codex-ci.sh) before sourcing launcher common and recording usage
4	in_scope	important	correctness	scripts/run-negotiation-round.sh:84-86	Same PLUGIN_ROOT gap for external_launcher_record_usage_from_events after Item B	Telemetry recording becomes a no-op outside Claude plugin env where CLAUDE_PLUGIN_ROOT is set	Add PLUGIN_ROOT resolution at top of run-negotiation-round.sh (parent of SCRIPT_DIR) and use it in the post-run record_usage call
5	in_scope	important	architecture	scripts/lib-timing-kinds.sh:5-67 vs skills/review-and-fix/scripts/review-and-fix.sh:75	Plan registers codex-lint-fix/codex-negotiation/codex-review-fix in TIMING_TASK_KINDS_ALLOWED and passes the same hyphen strings as token-ledger raw= labels	Existing launchers use underscore raw labels (codex_implement, codex_review, codex_ci_fix per token-ledger.md); hyphen raw values fragment vendor-misc attribution and diverge from enum-like raw= contract	Use underscore raw= labels (codex_lint_fix, codex_negotiation, codex_review_fix) for record_usage_from_events; keep hyphen slugs only in TIMING_TASK_KINDS_ALLOWED if timing-ledger integration is added later
6	in_scope	important	correctness	<TMPDIR>/discussion-round1.md:26-31	Round 1 Decision 5 requires per-site tests assert telemetry is recorded, not only events file exists	PR can pass file-creation assertions while token-ledger never gets vendor rows for the three new buckets	Add per-harness assertions (jq/grep on session timing-ledger or token-ledger) that a codex vendor row with the expected raw= label appears after a successful stub run
7	in_scope	important	correctness	scripts/larch-log.sh:67-101	Testing strategy says round_artifact_included <name> returns 0 but function is internal to larch-log.sh with no subcommand	Implementer has no specified invocation path; tests may not compile or may source the whole router	New tests should use write-round e2e (extend scripts/test-larch-log-write-round.sh) staging allowlisted/denied basenames, or extract round_artifact_included into a sourceable lib with a documented test entrypoint
8	in_scope	important	correctness	scripts/test-lint-fix-loop.sh:273-287	Item B test plan cites STUB_BIN/codex fixture; harness uses LINT_FIX_LOOP_RUN_EXTERNAL_AGENT_SH wrapper scripts only	No codex stub exists to extend; Item B lint-fix-loop regression may be unimplementable as written	Extend the existing per-case wrapper.sh stubs to emit JSONL on stdout when argv contains --json, and assert $run_dir/codex-events.jsonl; drop STUB_BIN/codex reference from the plan
9	in_scope	latent	risk-integration	skills/review-and-fix/scripts/review-and-fix.sh:75 vs scripts/launch-codex-implement.sh:358	Plan records usage only after wrapper success; launchers record unconditionally (including failed runs)	Failed codex runs lose vendor telemetry that launchers still capture; per-bucket gaps persist on failure paths	Record usage after every codex attempt (mirror launch-codex-implement.sh), or document intentional divergence and add a failure-path harness case
10	in_scope	nit	correctness	scripts/run-negotiation-round.sh:60-61	Negotiation Item B leaves sidecar log path as <sidecar-log> placeholder	Implementer may omit stderr sidecar or pick a non-allowlisted basename, breaking record_usage diagnostics and run-log shape	Specify a concrete path (e.g. ${OUTPUT_FILE%.txt}-codex.wrapper.log), add to round_artifact_included if published, and document in run-negotiation-round.md
11	out_of_scope	latent	correctness	<TMPDIR>/feature-description.txt:40-42	Item C is marked blocked by OPEN #2675; plan does not note blocker clearance or split	Item C allowlist could ship while process still treats issue blocked	Confirm #2675 state before merge or document explicit waiver in plan/PR; otherwise defer Item C
12	out_of_scope	nit	architecture	scripts/test-design-structure.sh:527-555	New timing kinds are only listed in lib-timing-kinds.sh; no harness grep like test-launch-codex-ci.sh	Allow-list drift could regress without a targeted failure until timing-ledger warns in production	Optional: add grep assertions in an existing harness (or test-design-structure) for codex-lint-fix, codex-negotiation, and codex-review-fix when touching lib-timing-kinds.sh
